dataset,dependence,estimator,k,f1,precision,recall,noise_rate,average_precision
nonlin_redundancy_clf,mixed,pearson_abs (baseline),5,0.33333333333333337,0.2,1.0,0.6,1.0
nonlin_redundancy_clf,mixed,pearson_abs (baseline),10,0.25,0.14285714285714285,1.0,0.7142857142857143,1.0
nonlin_redundancy_clf,mixed,MI sklearn-classif n3,5,0.33333333333333337,0.2,1.0,0.8,1.0
nonlin_redundancy_clf,mixed,MI sklearn-classif n3,10,0.25,0.14285714285714285,1.0,0.7142857142857143,1.0
nonlin_redundancy_clf,mixed,MI sklearn-classif n8,5,0.33333333333333337,0.2,1.0,0.8,1.0
nonlin_redundancy_clf,mixed,MI sklearn-classif n8,10,0.25,0.14285714285714285,1.0,0.7142857142857143,1.0
nonlin_redundancy_clf,mixed,MI sklearn-reg n3,5,0.33333333333333337,0.2,1.0,0.8,1.0
nonlin_redundancy_clf,mixed,MI sklearn-reg n3,10,0.25,0.14285714285714285,1.0,0.7142857142857143,1.0
nonlin_redundancy_clf,mixed,KSG-reg n8 (=AMI/cross_ami),5,0.33333333333333337,0.2,1.0,0.8,1.0
nonlin_redundancy_clf,mixed,KSG-reg n8 (=AMI/cross_ami),10,0.25,0.14285714285714285,1.0,0.7142857142857143,1.0
nonlin_redundancy_clf,mixed,GCMI (copula),5,0.33333333333333337,0.2,1.0,0.8,1.0
nonlin_redundancy_clf,mixed,GCMI (copula),10,0.25,0.14285714285714285,1.0,0.7142857142857143,1.0
xor,nonlinear,pearson_abs (baseline),5,0.28571428571428575,0.2,0.5,0.8,0.375
xor,nonlinear,pearson_abs (baseline),10,0.4,0.25,1.0,0.75,0.39285714285714285
xor,nonlinear,MI sklearn-classif n3,5,0.28571428571428575,0.2,0.5,0.8,0.375
xor,nonlinear,MI sklearn-classif n3,10,0.4,0.25,1.0,0.75,0.39285714285714285
xor,nonlinear,MI sklearn-classif n8,5,0.28571428571428575,0.2,0.5,0.8,0.375
xor,nonlinear,MI sklearn-classif n8,10,0.4,0.25,1.0,0.75,0.39285714285714285
xor,nonlinear,MI sklearn-reg n3,5,0.28571428571428575,0.2,0.5,0.8,0.375
xor,nonlinear,MI sklearn-reg n3,10,0.4,0.25,1.0,0.75,0.39285714285714285
xor,nonlinear,KSG-reg n8 (=AMI/cross_ami),5,0.28571428571428575,0.2,0.5,0.8,0.375
xor,nonlinear,KSG-reg n8 (=AMI/cross_ami),10,0.4,0.25,1.0,0.75,0.39285714285714285
xor,nonlinear,GCMI (copula),5,0.28571428571428575,0.2,0.5,0.8,0.375
xor,nonlinear,GCMI (copula),10,0.4,0.25,1.0,0.75,0.39285714285714285
linear_control_clf,linear,pearson_abs (baseline),5,0.5714285714285715,0.4,1.0,0.4,1.0
linear_control_clf,linear,pearson_abs (baseline),10,0.4,0.25,1.0,0.625,1.0
linear_control_clf,linear,MI sklearn-classif n3,5,0.28571428571428575,0.2,0.5,0.6,0.625
linear_control_clf,linear,MI sklearn-classif n3,10,0.4,0.25,1.0,0.625,0.6428571428571428
linear_control_clf,linear,MI sklearn-classif n8,5,0.5714285714285715,0.4,1.0,0.6,1.0
linear_control_clf,linear,MI sklearn-classif n8,10,0.4,0.25,1.0,0.625,1.0
linear_control_clf,linear,MI sklearn-reg n3,5,0.28571428571428575,0.2,0.5,0.6,0.625
linear_control_clf,linear,MI sklearn-reg n3,10,0.4,0.25,1.0,0.625,0.6428571428571428
linear_control_clf,linear,KSG-reg n8 (=AMI/cross_ami),5,0.5714285714285715,0.4,1.0,0.6,1.0
linear_control_clf,linear,KSG-reg n8 (=AMI/cross_ami),10,0.4,0.25,1.0,0.625,1.0
linear_control_clf,linear,GCMI (copula),5,0.5714285714285715,0.4,1.0,0.4,1.0
linear_control_clf,linear,GCMI (copula),10,0.4,0.25,1.0,0.625,1.0
redundant_blocks_clf,linear,pearson_abs (baseline),5,0.5,0.4,0.6666666666666666,0.0,0.626984126984127
redundant_blocks_clf,linear,pearson_abs (baseline),10,0.4615384615384615,0.3,1.0,0.2,0.7222222222222222
redundant_blocks_clf,linear,MI sklearn-classif n3,5,0.5,0.4,0.6666666666666666,0.2,0.46031746031746035
redundant_blocks_clf,linear,MI sklearn-classif n3,10,0.4615384615384615,0.3,1.0,0.5,0.5138888888888888
redundant_blocks_clf,linear,MI sklearn-classif n8,5,0.5,0.4,0.6666666666666666,0.2,0.3492063492063492
redundant_blocks_clf,linear,MI sklearn-classif n8,10,0.30769230769230765,0.2,0.6666666666666666,0.5,0.3492063492063492
redundant_blocks_clf,linear,MI sklearn-reg n3,5,0.5,0.4,0.6666666666666666,0.2,0.46031746031746035
redundant_blocks_clf,linear,MI sklearn-reg n3,10,0.4615384615384615,0.3,1.0,0.5,0.5138888888888888
redundant_blocks_clf,linear,KSG-reg n8 (=AMI/cross_ami),5,0.5,0.4,0.6666666666666666,0.2,0.3492063492063492
