method,source,dataset,k,seed,recovery_f1,noise_rate,runtime_s
mrmr_selection_classif,external,parabola,3,0,0.3333333333333333,0.6666666666666666,1.646955167001579
mrmr_selection_classif,external,parabola,5,0,0.25,0.8,1.9882674580439925
MID,modmrmr,parabola,3,0,0.6666666666666666,0.3333333333333333,0.08935775002464652
MID,modmrmr,parabola,5,0,0.7499999999999999,0.4,0.08249208400957286
MIQ,modmrmr,parabola,3,0,0.6666666666666666,0.3333333333333333,0.07955258304718882
MIQ,modmrmr,parabola,5,0,0.7499999999999999,0.4,0.07990870799403638
FCD,modmrmr,parabola,3,0,0.3333333333333333,0.6666666666666666,0.009301125013735145
FCD,modmrmr,parabola,5,0,0.25,0.8,0.009721625014208257
FCQ,modmrmr,parabola,3,0,0.3333333333333333,0.6666666666666666,0.008841542003210634
FCQ,modmrmr,parabola,5,0,0.25,0.8,0.009659958013799042
ModMRMR,modmrmr,parabola,3,0,0.3333333333333333,0.6666666666666666,0.008603833033703268
ModMRMR,modmrmr,parabola,5,0,0.25,0.8,0.009570291033014655
mrmr_selection_classif,external,parabola,3,1,0.6666666666666666,0.3333333333333333,1.6521117080119438
mrmr_selection_classif,external,parabola,5,1,0.7499999999999999,0.4,1.9366615830222145
MID,modmrmr,parabola,3,1,0.6666666666666666,0.3333333333333333,0.08292070799507201
MID,modmrmr,parabola,5,1,0.7499999999999999,0.4,0.08364958403399214
MIQ,modmrmr,parabola,3,1,0.3333333333333333,0.6666666666666666,0.08069112501107156
MIQ,modmrmr,parabola,5,1,0.7499999999999999,0.4,0.08246933302143589
FCD,modmrmr,parabola,3,1,1.0,0.0,0.009383124997839332
FCD,modmrmr,parabola,5,1,0.7499999999999999,0.4,0.00961754098534584
FCQ,modmrmr,parabola,3,1,0.6666666666666666,0.3333333333333333,0.008829666010569781
FCQ,modmrmr,parabola,5,1,0.7499999999999999,0.4,0.00981554202735424
ModMRMR,modmrmr,parabola,3,1,0.6666666666666666,0.3333333333333333,0.008902583038434386
ModMRMR,modmrmr,parabola,5,1,0.5,0.6,0.009608416992705315
mrmr_selection_classif,external,parabola,3,2,0.6666666666666666,0.3333333333333333,1.6387032920029014
mrmr_selection_classif,external,parabola,5,2,0.5,0.6,2.0145513340248726
MID,modmrmr,parabola,3,2,0.6666666666666666,0.3333333333333333,0.08316208299947903
MID,modmrmr,parabola,5,2,0.7499999999999999,0.4,0.08090212504612282
MIQ,modmrmr,parabola,3,2,0.6666666666666666,0.3333333333333333,0.07982887502294034
MIQ,modmrmr,parabola,5,2,0.7499999999999999,0.4,0.08271795901237056
FCD,modmrmr,parabola,3,2,0.6666666666666666,0.3333333333333333,0.009316499985288829
FCD,modmrmr,parabola,5,2,0.7499999999999999,0.4,0.009780207998119295
FCQ,modmrmr,parabola,3,2,0.6666666666666666,0.3333333333333333,0.00942970800679177
FCQ,modmrmr,parabola,5,2,0.5,0.6,0.010237624985165894
ModMRMR,modmrmr,parabola,3,2,0.6666666666666666,0.3333333333333333,0.00889100000495091
ModMRMR,modmrmr,parabola,5,2,0.5,0.6,0.01007420796668157
mrmr_selection_classif,external,radial,3,0,0.6666666666666666,0.3333333333333333,1.6134979999624193
mrmr_selection_classif,external,radial,5,0,0.5,0.6,2.0106846250128
cmim,external,radial,3,0,0.3333333333333333,0.6666666666666666,0.013472374994307756
cmim,external,radial,5,0,0.5,0.6,0.01439641701290384
jmi,external,radial,3,0,0.3333333333333333,0.6666666666666666,0.00926374999107793
jmi,external,radial,5,0,0.5,0.6,0.014462791034020483
MID,modmrmr,radial,3,0,0.6666666666666666,0.3333333333333333,0.08547808404546231
MID,modmrmr,radial,5,0,0.5,0.6,0.08058883296325803
MIQ,modmrmr,radial,3,0,0.6666666666666666,0.3333333333333333,0.08069058402907103
MIQ,modmrmr,radial,5,0,0.5,0.6,0.08243604202289134
FCD,modmrmr,radial,3,0,0.3333333333333333,0.6666666666666666,0.009096834051888436
FCD,modmrmr,radial,5,0,0.5,0.6,0.00955520902061835
FCQ,modmrmr,radial,3,0,0.6666666666666666,0.3333333333333333,0.008769207983277738
FCQ,modmrmr,radial,5,0,0.5,0.6,0.009918999974615872
ModMRMR,modmrmr,radial,3,0,0.3333333333333333,0.6666666666666666,0.008762750017922372
ModMRMR,modmrmr,radial,5,0,0.5,0.6,0.010379959014244378
mrmr_selection_classif,external,radial,3,1,0.3333333333333333,0.6666666666666666,1.630077457986772
mrmr_selection_classif,external,radial,5,1,0.5,0.6,1.9870838329661638
cmim,external,radial,3,1,0.3333333333333333,0.6666666666666666,0.009736959007568657
cmim,external,radial,5,1,0.5,0.6,0.014872291998472065
jmi,external,radial,3,1,0.3333333333333333,0.6666666666666666,0.009478833002503961
jmi,external,radial,5,1,0.5,0.6,0.014612124999985099
MID,modmrmr,radial,3,1,0.6666666666666666,0.3333333333333333,0.08698312501655892
MID,modmrmr,radial,5,1,0.5,0.6,0.08416933304397389
MIQ,modmrmr,radial,3,1,0.6666666666666666,0.3333333333333333,0.08613762503955513
MIQ,modmrmr,radial,5,1,0.7499999999999999,0.4,0.08089416695293039
FCD,modmrmr,radial,3,1,0.3333333333333333,0.6666666666666666,0.009053584013599902
FCD,modmrmr,radial,5,1,0.5,0.6,0.009657499962486327
FCQ,modmrmr,radial,3,1,0.3333333333333333,0.6666666666666666,0.009494541038293391
FCQ,modmrmr,radial,5,1,0.5,0.6,0.01023274997714907
ModMRMR,modmrmr,radial,3,1,0.3333333333333333,0.6666666666666666,0.009045707993209362
ModMRMR,modmrmr,radial,5,1,0.5,0.6,0.010190750006586313
mrmr_selection_classif,external,radial,3,2,0.3333333333333333,0.6666666666666666,1.6362104580039158
mrmr_selection_classif,external,radial,5,2,0.25,0.8,1.9825160420150496
cmim,external,radial,3,2,0.3333333333333333,0.6666666666666666,0.009480167005676776
cmim,external,radial,5,2,0.5,0.6,0.014256291033234447
jmi,external,radial,3,2,0.3333333333333333,0.6666666666666666,0.009420874994248152
jmi,external,radial,5,2,0.5,0.6,0.014764291991014034
MID,modmrmr,radial,3,2,0.6666666666666666,0.3333333333333333,0.08253075001994148
MID,modmrmr,radial,5,2,0.5,0.6,0.08166262495797127
MIQ,modmrmr,radial,3,2,0.6666666666666666,0.3333333333333333,0.08102420798968524
MIQ,modmrmr,radial,5,2,0.7499999999999999,0.4,0.08006633300101385
FCD,modmrmr,radial,3,2,0.3333333333333333,0.6666666666666666,0.008993583032861352
FCD,modmrmr,radial,5,2,0.25,0.8,0.01056508399778977
FCQ,modmrmr,radial,3,2,0.3333333333333333,0.6666666666666666,0.00912504200823605
FCQ,modmrmr,radial,5,2,0.25,0.8,0.0104963339981623
ModMRMR,modmrmr,radial,3,2,0.3333333333333333,0.6666666666666666,0.008915957994759083
ModMRMR,modmrmr,radial,5,2,0.25,0.8,0.010431333968881518
mrmr_selection_classif,external,sine,3,0,0.3333333333333333,0.6666666666666666,1.6231829159660265
mrmr_selection_classif,external,sine,5,0,0.5,0.6,1.9760119160055183
MID,modmrmr,sine,3,0,0.3333333333333333,0.6666666666666666,0.08427933300845325
MID,modmrmr,sine,5,0,0.5,0.6,0.08159166696714237
MIQ,modmrmr,sine,3,0,0.6666666666666666,0.3333333333333333,0.08129120897501707
MIQ,modmrmr,sine,5,0,0.7499999999999999,0.4,0.08240316703449935
FCD,modmrmr,sine,3,0,0.3333333333333333,0.6666666666666666,0.00916562497150153
FCD,modmrmr,sine,5,0,0.7499999999999999,0.4,0.009551334020216018
FCQ,modmrmr,sine,3,0,0.3333333333333333,0.6666666666666666,0.00885533302789554
FCQ,modmrmr,sine,5,0,0.5,0.6,0.009874166978988796
ModMRMR,modmrmr,sine,3,0,0.3333333333333333,0.6666666666666666,0.009048167034052312
ModMRMR,modmrmr,sine,5,0,0.5,0.6,0.010269917023833841
mrmr_selection_classif,external,sine,3,1,0.0,1.0,1.6315656669903547
mrmr_selection_classif,external,sine,5,1,0.5,0.6,1.9943377079907805
MID,modmrmr,sine,3,1,0.3333333333333333,0.6666666666666666,0.10064554197015241
MID,modmrmr,sine,5,1,0.5,0.6,0.08015412499662489
MIQ,modmrmr,sine,3,1,0.6666666666666666,0.3333333333333333,0.08077045797836035
MIQ,modmrmr,sine,5,1,0.7499999999999999,0.4,0.08445079094963148
FCD,modmrmr,sine,3,1,0.3333333333333333,0.6666666666666666,0.009216707956511527
FCD,modmrmr,sine,5,1,0.5,0.6,0.009750165976583958
FCQ,modmrmr,sine,3,1,0.0,1.0,0.008868999953847378
FCQ,modmrmr,sine,5,1,0.5,0.6,0.009901292040012777
ModMRMR,modmrmr,sine,3,1,0.3333333333333333,0.6666666666666666,0.008968083013314754
ModMRMR,modmrmr,sine,5,1,0.5,0.6,0.00993624998955056
mrmr_selection_classif,external,sine,3,2,0.3333333333333333,0.6666666666666666,1.611214792006649
mrmr_selection_classif,external,sine,5,2,0.5,0.6,2.0114656669902615
MID,modmrmr,sine,3,2,0.3333333333333333,0.6666666666666666,0.08339979202719405
MID,modmrmr,sine,5,2,0.5,0.6,0.08436495898058638
MIQ,modmrmr,sine,3,2,0.6666666666666666,0.3333333333333333,0.08109379099914804
MIQ,modmrmr,sine,5,2,0.7499999999999999,0.4,0.08222233300330117
FCD,modmrmr,sine,3,2,0.3333333333333333,0.6666666666666666,0.00920283404411748
FCD,modmrmr,sine,5,2,0.5,0.6,0.009601790981832892
FCQ,modmrmr,sine,3,2,0.3333333333333333,0.6666666666666666,0.00885158299934119
FCQ,modmrmr,sine,5,2,0.5,0.6,0.009929083986207843
ModMRMR,modmrmr,sine,3,2,0.3333333333333333,0.6666666666666666,0.008847541001159698
ModMRMR,modmrmr,sine,5,2,0.5,0.6,0.009891916997730732
mrmr_selection_classif,external,nonlin_redundancy_clf,3,0,0.8,0.3333333333333333,1.5179129999596626
mrmr_selection_classif,external,nonlin_redundancy_clf,5,0,0.5714285714285715,0.6,2.1219782500411384
cmim,external,nonlin_redundancy_clf,3,0,0.0,1.0,0.008110833005048335
cmim,external,nonlin_redundancy_clf,5,0,0.0,1.0,0.011645541992038488
jmi,external,nonlin_redundancy_clf,3,0,0.8,0.3333333333333333,0.0076695000170730054
jmi,external,nonlin_redundancy_clf,5,0,0.5714285714285715,0.6,0.01161983300698921
MID,modmrmr,nonlin_redundancy_clf,3,0,0.4,0.6666666666666666,0.06490645802114159
MID,modmrmr,nonlin_redundancy_clf,5,0,0.28571428571428575,0.8,0.06275824998738244
MIQ,modmrmr,nonlin_redundancy_clf,3,0,0.4,0.6666666666666666,0.06526975001906976
MIQ,modmrmr,nonlin_redundancy_clf,5,0,0.28571428571428575,0.8,0.06434399995487183
FCD,modmrmr,nonlin_redundancy_clf,3,0,0.8,0.3333333333333333,0.007645457983016968
FCD,modmrmr,nonlin_redundancy_clf,5,0,0.5714285714285715,0.6,0.009389790997374803
FCQ,modmrmr,nonlin_redundancy_clf,3,0,0.8,0.3333333333333333,0.007687417033594102
FCQ,modmrmr,nonlin_redundancy_clf,5,0,0.5714285714285715,0.6,0.00841229100478813
ModMRMR,modmrmr,nonlin_redundancy_clf,3,0,0.8,0.3333333333333333,0.007222832995466888
ModMRMR,modmrmr,nonlin_redundancy_clf,5,0,0.5714285714285715,0.6,0.00844037503702566
mrmr_selection_classif,external,nonlin_redundancy_clf,3,1,0.8,0.3333333333333333,1.5010608329903334
mrmr_selection_classif,external,nonlin_redundancy_clf,5,1,0.5714285714285715,0.6,2.068504541995935
cmim,external,nonlin_redundancy_clf,3,1,0.0,1.0,0.008414542011450976
cmim,external,nonlin_redundancy_clf,5,1,0.0,1.0,0.01172925002174452
jmi,external,nonlin_redundancy_clf,3,1,0.8,0.3333333333333333,0.00793266698019579
jmi,external,nonlin_redundancy_clf,5,1,0.5714285714285715,0.6,0.011945542006287724
