p,operator,mean_runtime_s,n_fits
500,difference,0.07184184876192982,30
1000,difference,0.1401332000270486,30
2000,difference,0.27812170433074546,30
5000,difference,0.8519832736327468,30
10000,difference,2.266637191698343,30
500,multiplicative,0.07262209865245192,60
1000,multiplicative,0.1399987798834142,60
2000,multiplicative,0.2800145722362989,60
5000,multiplicative,0.8443524229165632,60
10000,multiplicative,2.2431530457387754,60
500,quotient,0.07261221670002366,30
1000,quotient,0.13971301109995693,30
2000,quotient,0.2804980501066893,30
5000,quotient,0.8513802569301333,30
10000,quotient,2.2127315249332846,30
500,reg_quotient,0.07042094029990646,30
1000,reg_quotient,0.13589743326883763,30
2000,reg_quotient,0.2770597944036126,30
5000,reg_quotient,0.855227065171736,30
10000,reg_quotient,2.249235691704477,30
