rank,spec,f1,noise_rate,average_precision
1,dcor|pearson_abs|difference|mean,0.5463614378738463,0.20934364227550864,0.7136346137841838
2,dcor|pearson_abs|multiplicative|mean,0.5424434303054487,0.21782600425079401,0.7278409407705998
3,dcor|spearman_abs|difference|mean,0.5420910160599299,0.2160983015016796,0.7160270179130701
4,dcor|spearman_abs|multiplicative|mean,0.5414430683339051,0.21720136573141868,0.7268585918540479
5,dcor|pearson_abs|multiplicative|max,0.5351077525025363,0.26900248871037624,0.7110852913315716
6,dcor|spearman_abs|difference|sum,0.534360057502267,0.2539299802761341,0.6956095397042142
7,dcor|distance_corr|multiplicative|mean,0.5338137115380385,0.21626640300207267,0.7107142265554819
8,dcor|pearson_abs|difference|sum,0.5336939223316991,0.24323471400394478,0.6921238629877684
9,dcor|pearson_abs|difference|max,0.5311606562019723,0.25548692760231223,0.695301025568777
10,dcor|spearman_abs|multiplicative|max,0.5311162560890386,0.2714584027373794,0.7075498300873034
11,dcor|distance_corr|difference|mean,0.5288801957601938,0.1793780205730296,0.6803543674203052
12,dcor|spearman_abs|difference|max,0.5270569941964673,0.27162604489527564,0.6970544537645129
13,dcor|mutual_info_sklearn|multiplicative|mean,0.5206481572007281,0.2608909390364034,0.6907730341752589
14,dcor|pearson_abs|multiplicative|sum,0.5140969670361963,0.2881265578602857,0.6952265955195928
15,dcor|spearman_abs|multiplicative|sum,0.5097735481556942,0.2890733034224159,0.6924821018626728
16,dcor|distance_corr|multiplicative|max,0.5053236806404524,0.27427090467388443,0.6830289777398342
17,dcor|distance_corr|difference|max,0.5009222977423724,0.23774936601859678,0.6539038714408536
18,dcor|mutual_info_sklearn|difference|mean,0.5007442980390356,0.28403927752945773,0.6730660469224936
19,dcor|mutual_info_sklearn|multiplicative|max,0.49996854838876575,0.3068791887088505,0.6758538370420137
20,dcor|distance_corr|difference|sum,0.4948677688498968,0.232569033530572,0.6495626359176655
21,spearman|pearson_abs|multiplicative|mean,0.4947270527409785,0.2412494298411096,0.656801100549078
22,spearman|mutual_info_sklearn|multiplicative|mean,0.49391773707182185,0.27282796554890465,0.6450278506343189
23,spearman|spearman_abs|multiplicative|mean,0.4930448028047641,0.24139009973166597,0.6571896025313527
24,spearman|distance_corr|multiplicative|mean,0.4927193177826604,0.247256339915524,0.6523059262868088
25,dcor|mutual_info_sklearn|difference|max,0.48942787868061643,0.2981620089312397,0.6636505089256569
26,dcor|mutual_info_sklearn|multiplicative|sum,0.48935965342002596,0.31215353597750045,0.6698214594156412
27,spearman|distance_corr|difference|mean,0.4873771176851237,0.1959445181351536,0.6312160533173694
28,dcor|distance_corr|multiplicative|sum,0.4844563242095843,0.2897293567707769,0.6676763230959845
29,spearman|pearson_abs|difference|mean,0.48408243863299827,0.2298987351378633,0.640787707521822
30,spearman|mutual_info_sklearn|difference|mean,0.48308124190935275,0.28679792615439714,0.6321814641661369
31,dcor|mutual_info_sklearn|difference|sum,0.4805228984912556,0.30095848595848596,0.657811130136574
32,spearman|mutual_info_sklearn|multiplicative|max,0.48050048257370875,0.3105473634028968,0.6355387357513066
33,spearman|spearman_abs|difference|mean,0.48029455050593106,0.2334129683572802,0.6429481381182722
34,spearman|pearson_abs|multiplicative|max,0.4775475611382369,0.28703961984783344,0.6383565923563584
35,spearman|spearman_abs|multiplicative|max,0.476762687224907,0.28746370359204,0.6387388681381976
36,spearman|distance_corr|multiplicative|max,0.4746517093496979,0.2978890021682799,0.6346402755760422
37,pearson|pearson_abs|multiplicative|mean,0.4737353472352188,0.2534726141109302,0.6329035260220267
38,pearson|distance_corr|multiplicative|mean,0.47239624644114037,0.2575606578085664,0.6259836554196964
39,pearson|spearman_abs|multiplicative|mean,0.47200424595935403,0.25349743536015595,0.6314847517162698
40,pearson|mutual_info_sklearn|multiplicative|mean,0.4713047464653566,0.2887764135630272,0.6215663826235096
41,mi|distance_corr|quotient|mean,0.4708606410422139,0.29939269325059187,0.6501195757952226
42,mi|distance_corr|quotient|sum,0.47018476959602584,0.24946978728043817,0.6390307248033545
43,spearman|mutual_info_sklearn|difference|max,0.46987701622407796,0.29893776342001194,0.6233643944265246
44,spearman|mutual_info_sklearn|multiplicative|sum,0.4689440898189819,0.3144084383729354,0.6295369944233558
45,dcor|distance_corr|quotient|sum,0.46844136301021977,0.34518815862241914,0.7034266086100707
46,mi|spearman_abs|multiplicative|mean,0.46833959483983045,0.19512719528991718,0.6328088196113903
47,spearman|distance_corr|difference|max,0.4681551196140278,0.2416913214990138,0.6134807601996951
48,mi|pearson_abs|multiplicative|mean,0.4677567635383772,0.19527888585130673,0.6337055164379913
49,mi|distance_corr|multiplicative|mean,0.46406993097228144,0.1959026377961289,0.6336557951666173
50,spearman|spearman_abs|difference|sum,0.46313432007386224,0.27312130177514793,0.6205156839653881
51,spearman|spearman_abs|difference|max,0.4631053087773035,0.28046491969568893,0.6227919589724323
52,spearman|pearson_abs|difference|max,0.46216470204618154,0.2757009016624401,0.6188832053329094
53,pearson|distance_corr|difference|mean,0.45908254082531474,0.21719526087947139,0.6076534808842535
54,spearman|mutual_info_sklearn|difference|sum,0.4585784468746293,0.3052909270216962,0.6179309574383539
55,pearson|mutual_info_sklearn|multiplicative|max,0.4581484116210317,0.326455367802346,0.6114914852897753
56,pearson|mutual_info_sklearn|difference|mean,0.4575453749140504,0.2997462412994223,0.6065479490454421
57,pearson|pearson_abs|multiplicative|max,0.4568589291333758,0.29939980155489343,0.6165127814180509
58,mi|pearson_abs|quotient|mean,0.45666919140805623,0.33663083568055896,0.6376723120340112
59,mi|distance_corr|quotient|max,0.4563880383119373,0.30998078457399353,0.633866796556539
60,spearman|pearson_abs|difference|sum,0.4554006199702578,0.2770216962524655,0.6152211017669598
61,mi|spearman_abs|quotient|mean,0.45479400226297134,0.3419877245177141,0.6351698196193993
62,spearman|pearson_abs|multiplicative|sum,0.45460175171299083,0.3087997521873262,0.6233726832843193
63,spearman|distance_corr|difference|sum,0.45451850428699164,0.25247534516765285,0.6081301088786296
64,pearson|distance_corr|multiplicative|max,0.4533847265735107,0.30737861372165326,0.6080076646560875
65,pearson|pearson_abs|difference|mean,0.45309102451103894,0.24527536899266314,0.6152448973029881
66,pearson|spearman_abs|multiplicative|max,0.4528266392968558,0.3000927599008873,0.6144820003774702
67,pearson|spearman_abs|difference|mean,0.45145229479186477,0.24573435639306632,0.6192867604355937
68,spearman|distance_corr|quotient|sum,0.45143022691215545,0.34489873210287414,0.6563546726083376
69,spearman|spearman_abs|multiplicative|sum,0.4504618969481246,0.31179261402634184,0.6233806844604811
70,mi|pearson_abs|quotient|sum,0.45010156571728804,0.31231934731934735,0.6305207733599334
71,mi|spearman_abs|multiplicative|max,0.44925027702387543,0.22819277369573226,0.6101731837269768
72,mi|pearson_abs|multiplicative|max,0.44906033788111793,0.2271375468712747,0.6111230853124344
73,mi|pearson_abs|quotient|max,0.448370812877735,0.33849445941076783,0.6301052096844859
74,pearson|mutual_info_sklearn|multiplicative|sum,0.44832543863160335,0.3317939374892037,0.6062862394120806
75,mi|mutual_info_sklearn|multiplicative|mean,0.44830519329320767,0.23167161569528433,0.595065914970944
76,mi|spearman_abs|quotient|sum,0.44808416562025677,0.31820904933330973,0.6282631719484439
77,spearman|distance_corr|multiplicative|sum,0.447847121909146,0.31804367066201383,0.6189645474713229
78,mi|spearman_abs|quotient|max,0.447199267261592,0.3432836578102602,0.6271064867215058
79,dcor|distance_corr|quotient|mean,0.4469722073144355,0.3920179212634834,0.7062435165980082
80,mi|distance_corr|multiplicative|max,0.4443527570562174,0.22609570409866267,0.6110265573592568
81,pearson|mutual_info_sklearn|difference|max,0.4425045124707099,0.3141478853165244,0.5964125280811671
82,f|distance_corr|difference|sum,0.4402853549672034,0.3259089967669849,0.6027023683088771
83,pearson|distance_corr|difference|max,0.44004087637449324,0.26604536489151875,0.5894605462475284
84,mi|spearman_abs|multiplicative|sum,0.4376068876927583,0.2535442269761796,0.6007873378628935
85,pearson|spearman_abs|difference|max,0.43714583464121864,0.29465342349957735,0.5994067126167718
86,pearson|pearson_abs|difference|max,0.436862731122148,0.2963433361510285,0.5945050501766478
87,f|spearman_abs|difference|sum,0.43655839845526273,0.3367627004854101,0.607316109268772
88,pearson|distance_corr|quotient|sum,0.4365194857905468,0.3506479713580305,0.6296178457521555
89,mi|pearson_abs|multiplicative|sum,0.436345965514768,0.25146124585473695,0.6018701668727013
