spec,dependence,precision,recall,f1,redundancy_rate,noise_rate,average_precision,roc_auc,downstream_score
dcor|distance_corr|difference|max,nonlinear,0.6331527777777778,0.7277777777777779,0.6202981000481,0.0011458333333333333,0.26565277777777774,0.7506755952380952,0.8174652777777778,0.6684943429578545
dcor|distance_corr|difference|mean,nonlinear,0.6300515873015873,0.7606944444444445,0.6240256132756133,0.008624999999999999,0.26396230158730155,0.757157738095238,0.8333333333333334,0.6682645121956715
dcor|distance_corr|difference|sum,nonlinear,0.6686666666666666,0.73,0.6431354016354016,0.0011458333333333333,0.22906944444444444,0.7493472222222223,0.8192708333333333,0.6655242264068318
dcor|distance_corr|multiplicative|max,nonlinear,0.5891904761904763,0.87,0.6297246272246272,0.0022916666666666667,0.3407599206349206,0.8133581349206349,0.8828472222222223,0.6952073242138322
dcor|distance_corr|multiplicative|mean,nonlinear,0.581108134920635,0.8658333333333333,0.6227234848484848,0.015759920634920634,0.33869742063492064,0.8078720238095238,0.876388888888889,0.6953741961350809
dcor|distance_corr|multiplicative|sum,nonlinear,0.5994980158730159,0.8681944444444444,0.6397053270803271,0.0025,0.3294484126984127,0.8122867063492063,0.8823263888888889,0.6943564423639209
dcor|distance_corr|quotient|max,nonlinear,0.42018849206349207,0.9045833333333333,0.505082251082251,0.0074583333333333324,0.5207202380952382,0.8076547619047619,0.8667013888888889,0.7136991364619466
dcor|distance_corr|quotient|mean,nonlinear,0.4211746031746032,0.905,0.5063044733044733,0.008805555555555556,0.5178174603174603,0.8082599206349207,0.8687847222222222,0.7126702576957007
dcor|distance_corr|quotient|sum,nonlinear,0.4415813492063492,0.8941666666666667,0.5287666546416546,0.009991071428571429,0.49417063492063495,0.8079910714285714,0.8694444444444444,0.7153341506034451
dcor|mutual_info_sklearn|difference|max,nonlinear,0.5622132936507936,0.7591666666666667,0.5864686748436748,0.0011458333333333333,0.35755059523809524,0.7687718253968253,0.8155902777777778,0.6978195850394416
dcor|mutual_info_sklearn|difference|mean,nonlinear,0.5569176587301587,0.7820833333333334,0.5834671115921116,0.00493452380952381,0.3610248015873016,0.7691507936507936,0.8157986111111112,0.6976424816356693
dcor|mutual_info_sklearn|difference|sum,nonlinear,0.5688928571428572,0.7579166666666667,0.5934138407888409,0.0011458333333333333,0.3487321428571428,0.7680922619047619,0.8180902777777778,0.6982172002079858
dcor|mutual_info_sklearn|multiplicative|max,nonlinear,0.5548263888888889,0.7995833333333333,0.5877142255892256,0.0021875,0.3674037698412698,0.7793303571428571,0.82,0.7060971313784753
dcor|mutual_info_sklearn|multiplicative|mean,nonlinear,0.5589603174603174,0.8266666666666667,0.5955669191919193,0.005767857142857143,0.3610912698412698,0.784092261904762,0.8392708333333333,0.7061380331888433
dcor|mutual_info_sklearn|multiplicative|sum,nonlinear,0.5559464285714285,0.7979166666666667,0.5885202621452621,0.0021875,0.3662281746031746,0.7793353174603175,0.8204861111111111,0.7057917085352288
dcor|mutual_info_sklearn|quotient|max,nonlinear,0.3650049603174603,0.8323611111111111,0.4466224747474748,0.006726190476190476,0.5770347222222223,0.7001051587301587,0.7346736111111111,0.6846539978807875
dcor|mutual_info_sklearn|quotient|mean,nonlinear,0.36704265873015873,0.8419444444444445,0.4499558080808081,0.006666666666666667,0.5754494047619048,0.7018621031746032,0.7385486111111111,0.6844089320746969
dcor|mutual_info_sklearn|quotient|sum,nonlinear,0.36423908730158727,0.8294444444444444,0.44548490860990864,0.007083333333333333,0.5774196428571429,0.7011329365079365,0.7378541666666666,0.684365246990446
dcor|pearson_abs|difference|max,nonlinear,0.6225208333333333,0.8422222222222222,0.6504656084656085,0.0011458333333333333,0.30587202380952383,0.7891180555555555,0.8692361111111111,0.6795100725448455
dcor|pearson_abs|difference|mean,nonlinear,0.6023015873015873,0.8498611111111112,0.6335313852813852,0.0116359126984127,0.3201686507936508,0.7909781746031745,0.8698611111111111,0.6783691224614656
dcor|pearson_abs|difference|sum,nonlinear,0.6437916666666667,0.8295833333333333,0.6661473063973065,0.0011458333333333333,0.28144444444444444,0.7841517857142858,0.8633333333333333,0.6750738603898655
dcor|pearson_abs|multiplicative|max,nonlinear,0.5889871031746031,0.8820833333333333,0.6352406806156806,0.0022916666666666667,0.34412996031746035,0.820094246031746,0.889375,0.7020000439909602
dcor|pearson_abs|multiplicative|mean,nonlinear,0.5814573412698413,0.88125,0.6288114478114478,0.012907738095238095,0.3435248015873016,0.8179761904761904,0.887013888888889,0.7015929879594978
dcor|pearson_abs|multiplicative|sum,nonlinear,0.5939742063492063,0.8825,0.6398144540644541,0.0022916666666666667,0.3393710317460318,0.820094246031746,0.8892708333333333,0.7024478213375803
dcor|pearson_abs|quotient|max,nonlinear,0.3716190476190476,0.871388888888889,0.4613163780663781,0.00625,0.5705674603174603,0.7123234126984127,0.8069722222222222,0.6739764366901847
dcor|pearson_abs|quotient|mean,nonlinear,0.37030654761904763,0.8715277777777777,0.46027886002886004,0.007916666666666667,0.5703244047619048,0.7092281746031746,0.8023888888888889,0.6756961373329866
dcor|pearson_abs|quotient|sum,nonlinear,0.3725892857142857,0.8648611111111111,0.46251268638768633,0.008179563492063491,0.5674365079365079,0.7091835317460317,0.8025625000000001,0.6755267486538455
dcor|spearman_abs|difference|max,nonlinear,0.6067599206349206,0.8326388888888888,0.6354449254449255,0.0011458333333333333,0.323,0.7789335317460317,0.8601041666666667,0.6740556791326936
dcor|spearman_abs|difference|mean,nonlinear,0.5914573412698413,0.8473611111111111,0.6239831048581049,0.011974206349206349,0.3315585317460318,0.7840476190476191,0.8649652777777778,0.6741258371282871
dcor|spearman_abs|difference|sum,nonlinear,0.6308472222222222,0.8238888888888889,0.6551354016354016,0.0011458333333333333,0.2950416666666667,0.7753422619047619,0.85625,0.6680494171951701
dcor|spearman_abs|multiplicative|max,nonlinear,0.5896299603174603,0.8820833333333333,0.6357995430495431,0.0021875,0.3434732142857143,0.820094246031746,0.8893055555555556,0.7016877877494234
dcor|spearman_abs|multiplicative|mean,nonlinear,0.5794732142857143,0.8808333333333334,0.6270449134199134,0.013393849206349204,0.3450922619047619,0.8162053571428571,0.8846180555555556,0.7007278764872027
dcor|spearman_abs|multiplicative|sum,nonlinear,0.5931498015873016,0.8825,0.6391539201539203,0.0022916666666666667,0.3400843253968254,0.8199751984126984,0.8887152777777777,0.7018749376399309
dcor|spearman_abs|quotient|max,nonlinear,0.36681349206349206,0.8679166666666667,0.4564850288600289,0.006458333333333333,0.5756230158730159,0.7047331349206349,0.7967500000000001,0.6729732797900749
dcor|spearman_abs|quotient|mean,nonlinear,0.3680565476190476,0.8695833333333334,0.4580149711399712,0.0076875,0.5730882936507936,0.7058501984126984,0.79825,0.6722149770860826
dcor|spearman_abs|quotient|sum,nonlinear,0.36991765873015875,0.86375,0.45984361471861473,0.007955357142857142,0.5706319444444444,0.7058204365079365,0.7984930555555556,0.672271335924767
f|distance_corr|difference|max,nonlinear,0.20820833333333333,0.5413888888888888,0.28105188792688796,0.019151785714285715,0.7174166666666667,0.36053869047619047,0.4321259920634921,0.5116666074837873
f|distance_corr|difference|mean,nonlinear,0.21199305555555553,0.5648611111111111,0.2878786075036075,0.018749007936507935,0.7149871031746031,0.3613482142857143,0.43460813492063494,0.5163462061928947
f|distance_corr|difference|sum,nonlinear,0.20468849206349207,0.47333333333333333,0.2673405483405484,0.020576388888888887,0.7168809523809524,0.3595069444444444,0.4351438492063492,0.48272396318903515
f|distance_corr|multiplicative|max,nonlinear,0.21481746031746032,0.6123611111111111,0.29694348244348245,0.015327380952380952,0.7176269841269842,0.36265112433862434,0.43450595238095235,0.5421477931591805
f|distance_corr|multiplicative|mean,nonlinear,0.21724007936507936,0.6259722222222222,0.3011590909090909,0.015169642857142857,0.7157380952380952,0.36321560846560846,0.43792956349206347,0.5426411817732467
f|distance_corr|multiplicative|sum,nonlinear,0.2142876984126984,0.5956944444444445,0.29448581048581046,0.008864087301587302,0.7227480158730158,0.3631435185185185,0.43896130952380946,0.5383760554177678
f|distance_corr|quotient|max,nonlinear,0.21835615079365078,0.6725,0.30813570226070225,0.016887896825396823,0.7140823412698413,0.36324768518518513,0.42984523809523806,0.5763721787431251
f|distance_corr|quotient|mean,nonlinear,0.2210813492063492,0.6869444444444445,0.3128157768157768,0.016686507936507933,0.7122996031746032,0.3648320105820106,0.4366170634920635,0.5788925680154586
f|distance_corr|quotient|sum,nonlinear,0.21858234126984125,0.6515277777777778,0.30581307118807116,0.017316468253968254,0.7133323412698412,0.3640625,0.43587301587301586,0.5598711812364497
f|mutual_info_sklearn|difference|max,nonlinear,0.20715079365079364,0.5486111111111112,0.28130868205868204,0.01910218253968254,0.7186031746031746,0.36181382275132273,0.4302936507936508,0.530110197825655
f|mutual_info_sklearn|difference|mean,nonlinear,0.2091904761904762,0.5738888888888889,0.2866544612794613,0.018568452380952383,0.7188551587301587,0.3616243386243386,0.42779067460317466,0.5366253618286417
f|mutual_info_sklearn|difference|sum,nonlinear,0.2077281746031746,0.5416666666666666,0.281032708032708,0.019272817460317462,0.7174623015873016,0.36160978835978835,0.431453373015873,0.5228690669131314
f|mutual_info_sklearn|multiplicative|max,nonlinear,0.2127638888888889,0.5968055555555555,0.29279930254930253,0.0028125,0.729077380952381,0.3629775132275132,0.43514484126984126,0.542991127934112
f|mutual_info_sklearn|multiplicative|mean,nonlinear,0.21329861111111112,0.6113888888888889,0.2950301226551227,0.013053571428571428,0.7210029761904762,0.3626054894179894,0.4319503968253969,0.5419121600252184
f|mutual_info_sklearn|multiplicative|sum,nonlinear,0.21314781746031747,0.5980555555555556,0.2933746993746994,0.0028125,0.7286656746031746,0.3635340608465608,0.4365684523809524,0.5438749851401492
f|mutual_info_sklearn|quotient|max,nonlinear,0.21974206349206352,0.6690277777777778,0.30886495911495915,0.011967261904761904,0.7170337301587302,0.36634854497354497,0.43100000000000005,0.5850385685613901
f|mutual_info_sklearn|quotient|mean,nonlinear,0.2231468253968254,0.69875,0.31570917508417506,0.011629960317460317,0.7149464285714285,0.3678617724867725,0.4345833333333333,0.5888028080160274
f|mutual_info_sklearn|quotient|sum,nonlinear,0.2184940476190476,0.6591666666666667,0.3063540163540164,0.012086309523809523,0.7182936507936508,0.3664011243386243,0.4316121031746032,0.5795909953189914
f|pearson_abs|difference|max,nonlinear,0.21534325396825393,0.5833333333333334,0.29375114237614236,0.018367063492063494,0.7127083333333334,0.36408730158730157,0.4403720238095238,0.5171006147549083
f|pearson_abs|difference|mean,nonlinear,0.21709523809523812,0.6043055555555555,0.2983814333814334,0.018169642857142856,0.7116964285714286,0.36431613756613757,0.4412956349206349,0.5274286686868289
f|pearson_abs|difference|sum,nonlinear,0.21029563492063494,0.5338888888888889,0.2820455747955748,0.018893849206349206,0.7157876984126984,0.3612688492063492,0.4357549603174603,0.4975323165379927
f|pearson_abs|multiplicative|max,nonlinear,0.21820833333333337,0.6268055555555555,0.30214189514189516,0.014468253968253967,0.7149781746031746,0.3648207671957672,0.4421378968253968,0.5416160796944344
f|pearson_abs|multiplicative|mean,nonlinear,0.21847222222222223,0.6308333333333334,0.3029236411736412,0.014837301587301586,0.7143154761904762,0.36472949735449733,0.44267956349206355,0.5424409206617463
f|pearson_abs|multiplicative|sum,nonlinear,0.21992063492063493,0.6284722222222222,0.3042245670995671,0.0074583333333333324,0.7191666666666666,0.3665152116402116,0.449530753968254,0.5427655530276869
f|pearson_abs|quotient|max,nonlinear,0.2252172619047619,0.6963888888888888,0.31824398749398747,0.016519841269841268,0.707766865079365,0.3742017195767196,0.44867956349206345,0.5805620861022518
f|pearson_abs|quotient|mean,nonlinear,0.22469841269841268,0.7038888888888889,0.3184787157287157,0.01638888888888889,0.7086468253968253,0.37130026455026455,0.44240376984126983,0.586259642314008
f|pearson_abs|quotient|sum,nonlinear,0.22152678571428572,0.6747222222222222,0.3115719696969697,0.01654265873015873,0.7113521825396826,0.37086772486772485,0.44179464285714287,0.5682105275699969
f|spearman_abs|difference|max,nonlinear,0.21614087301587298,0.5873611111111111,0.2952861952861953,0.018375,0.7117916666666666,0.36467559523809523,0.4430178571428572,0.5176642751295929
f|spearman_abs|difference|mean,nonlinear,0.2174424603174603,0.6063888888888889,0.2989184704184704,0.018177579365079365,0.7113035714285714,0.36425264550264547,0.44189285714285714,0.5276834734711358
f|spearman_abs|difference|sum,nonlinear,0.21306051587301586,0.5451388888888888,0.2864159451659452,0.019110119047619046,0.7125982142857142,0.3619289021164021,0.44026190476190474,0.4985465321794207
f|spearman_abs|multiplicative|max,nonlinear,0.21820039682539683,0.6293055555555556,0.3025969215969216,0.015197420634920633,0.7142222222222223,0.3647542989417989,0.44313789682539684,0.5417443754028074
f|spearman_abs|multiplicative|mean,nonlinear,0.21808333333333332,0.6305555555555555,0.3026154401154401,0.015258928571428573,0.7142777777777778,0.3643396164021164,0.44261011904761904,0.5418070705586079
f|spearman_abs|multiplicative|sum,nonlinear,0.22006349206349204,0.6306944444444444,0.3047814454064454,0.008828373015873015,0.7177976190476191,0.36607473544973546,0.44891567460317455,0.5427523926404901
f|spearman_abs|quotient|max,nonlinear,0.22635813492063492,0.7025,0.32020598845598847,0.01640972222222222,0.7066517857142858,0.3755638227513227,0.4525357142857143,0.5834951843419816
f|spearman_abs|quotient|mean,nonlinear,0.2277876984126984,0.7161111111111111,0.32330796055796057,0.016297619047619047,0.7055456349206349,0.3764150132275132,0.4527380952380953,0.5909434531515287
f|spearman_abs|quotient|sum,nonlinear,0.22468055555555555,0.6873611111111111,0.31661976911976913,0.01653373015873016,0.7080218253968253,0.37585945767195766,0.4518789682539683,0.5724743906104798
mi|distance_corr|difference|max,nonlinear,0.6735,0.76125,0.6553953222703223,0.0010416666666666667,0.2537222222222222,0.7803313492063492,0.8425347222222221,0.6688031767249862
mi|distance_corr|difference|mean,nonlinear,0.6756527777777778,0.7683333333333333,0.6589111952861952,0.0011458333333333333,0.25225,0.7833988095238095,0.8481944444444445,0.6693091403784119
mi|distance_corr|difference|sum,nonlinear,0.6764027777777777,0.76375,0.6578953222703222,0.0011458333333333333,0.2508888888888889,0.7814583333333334,0.8452430555555556,0.6691860619211712
mi|distance_corr|multiplicative|max,nonlinear,0.6182222222222222,0.8366666666666667,0.6430366762866763,0.002958333333333333,0.31652777777777774,0.811656746031746,0.8625,0.7008179394375124
mi|distance_corr|multiplicative|mean,nonlinear,0.6155,0.8391666666666666,0.6417906445406445,0.010125,0.31469444444444444,0.8126984126984127,0.8635416666666667,0.7009521964448633
mi|distance_corr|multiplicative|sum,nonlinear,0.6180634920634921,0.8325,0.6409950096200097,0.0022916666666666667,0.31723412698412695,0.809781746031746,0.8607291666666667,0.7000708259032762
mi|distance_corr|quotient|max,nonlinear,0.509514880952381,0.88375,0.591215428090428,0.01036904761904762,0.43211607142857145,0.8332251984126984,0.8765625,0.7251946688469351
mi|distance_corr|quotient|mean,nonlinear,0.5061835317460318,0.8866666666666667,0.5890857984607984,0.010404761904761905,0.43568154761904765,0.8357738095238095,0.879548611111111,0.7247480025227625
mi|distance_corr|quotient|sum,nonlinear,0.5484146825396825,0.88,0.6212192159692159,0.008652777777777777,0.3907956349206349,0.834280753968254,0.878125,0.7262016420377648
mi|mutual_info_sklearn|difference|max,nonlinear,0.642375,0.7916666666666666,0.654516354016354,0.00125,0.3175138888888889,0.7953085317460317,0.8474305555555556,0.7014308122519046
mi|mutual_info_sklearn|difference|mean,nonlinear,0.6384027777777778,0.7966666666666666,0.6528953222703222,0.0010416666666666667,0.3135833333333333,0.797109126984127,0.8494444444444444,0.700935318103653
mi|mutual_info_sklearn|difference|sum,nonlinear,0.642263888888889,0.79,0.653907227032227,0.00125,0.31755555555555554,0.7941805555555556,0.8453125,0.700585778330031
mi|mutual_info_sklearn|multiplicative|max,nonlinear,0.625577380952381,0.8233333333333334,0.6441696127946127,0.003125,0.3313035714285714,0.8038095238095238,0.8510416666666667,0.7048528539870721
mi|mutual_info_sklearn|multiplicative|mean,nonlinear,0.6257579365079364,0.8241666666666667,0.6445585016835017,0.0040625,0.3296924603174603,0.804156746031746,0.8517013888888889,0.7049392074054935
mi|mutual_info_sklearn|multiplicative|sum,nonlinear,0.6252301587301587,0.8233333333333334,0.6438362794612794,0.003125,0.33165079365079364,0.8038095238095238,0.8510416666666667,0.7047856330224808
mi|mutual_info_sklearn|quotient|max,nonlinear,0.45973015873015877,0.8570833333333333,0.5452724867724867,0.007567460317460317,0.4912261904761904,0.787204365079365,0.8365625,0.7129787587771915
mi|mutual_info_sklearn|quotient|mean,nonlinear,0.4577073412698413,0.8675,0.5450791847041847,0.009761904761904762,0.49137996031746034,0.789530753968254,0.8391666666666666,0.7135668506690708
mi|mutual_info_sklearn|quotient|sum,nonlinear,0.4624404761904762,0.8525,0.5468796296296297,0.008196428571428572,0.4873829365079365,0.7874900793650793,0.8365277777777778,0.7132547013821168
mi|pearson_abs|difference|max,nonlinear,0.6583611111111111,0.7954166666666667,0.6642723063973064,0.0011458333333333333,0.27519444444444446,0.7927371031746031,0.8523263888888889,0.6867593581266228
mi|pearson_abs|difference|mean,nonlinear,0.6553472222222222,0.80125,0.6644250841750842,0.0018124999999999999,0.27820833333333334,0.797031746031746,0.8563541666666666,0.6881393809197025
mi|pearson_abs|difference|sum,nonlinear,0.6592916666666666,0.7904166666666667,0.6635461159211159,0.0011458333333333333,0.27311111111111114,0.7905863095238095,0.8484027777777778,0.6851111724422044
mi|pearson_abs|multiplicative|max,nonlinear,0.6216805555555556,0.84375,0.6481239778739779,0.0028541666666666663,0.3165833333333333,0.8137748015873016,0.8649305555555556,0.6996925871130966
mi|pearson_abs|multiplicative|mean,nonlinear,0.6158194444444445,0.84375,0.6434096921596922,0.0105625,0.31725,0.8137748015873016,0.8649305555555556,0.6997254871922295
mi|pearson_abs|multiplicative|sum,nonlinear,0.6219027777777778,0.84375,0.6483144540644541,0.0021875,0.3169166666666667,0.8137748015873016,0.8649305555555556,0.6996879522735817
mi|pearson_abs|quotient|max,nonlinear,0.47903869047619047,0.87625,0.565878787878788,0.010051587301587301,0.46397718253968256,0.807204365079365,0.860625,0.7119092033776198
mi|pearson_abs|quotient|mean,nonlinear,0.4732668650793651,0.8795833333333334,0.5612392376142377,0.009754960317460317,0.47073115079365074,0.8084126984126984,0.8622569444444443,0.7116890207476928
mi|pearson_abs|quotient|sum,nonlinear,0.4940625,0.8741666666666666,0.5790679413179413,0.010563492063492065,0.4474097222222222,0.8077321428571428,0.8617013888888889,0.7130259636388359
mi|spearman_abs|difference|max,nonlinear,0.6520694444444445,0.7929166666666667,0.6588893698893699,0.00125,0.28052777777777776,0.7888938492063492,0.8500347222222222,0.6834532661974788
mi|spearman_abs|difference|mean,nonlinear,0.6505833333333334,0.8016666666666666,0.6609012746512747,0.0021458333333333334,0.28176388888888887,0.7929771825396825,0.8542361111111111,0.6853645959528074
mi|spearman_abs|difference|sum,nonlinear,0.6551944444444444,0.7879166666666667,0.6597068302068302,0.00125,0.2771666666666667,0.7873789682539682,0.8463888888888889,0.6829855805550212
mi|spearman_abs|multiplicative|max,nonlinear,0.6214027777777777,0.8445833333333334,0.6484573112073112,0.0028541666666666663,0.31686111111111115,0.8129414682539683,0.8646527777777777,0.6999933049322309
mi|spearman_abs|multiplicative|mean,nonlinear,0.6158194444444445,0.8445833333333334,0.6439652477152478,0.0105625,0.31725,0.8129414682539683,0.8646527777777777,0.7000488321101214
mi|spearman_abs|multiplicative|sum,nonlinear,0.6214861111111111,0.8433333333333334,0.6481200096200096,0.0021875,0.31719444444444445,0.8126289682539682,0.8644791666666667,0.6994780523485521
mi|spearman_abs|quotient|max,nonlinear,0.4748660714285714,0.875,0.5626525974025974,0.009718253968253968,0.46795535714285713,0.8006269841269841,0.8560069444444444,0.7114831784701843
mi|spearman_abs|quotient|mean,nonlinear,0.4674771825396825,0.8775,0.5563298460798461,0.009727182539682539,0.4759930555555555,0.8017599206349206,0.8572569444444443,0.7103487152158442
