spec,dependence,precision,recall,f1,redundancy_rate,noise_rate,average_precision,roc_auc,downstream_score
dcor|distance_corr|difference|max,linear,0.6326547619047619,0.72,0.6355405784691499,0.00042857142857142866,0.16745238095238096,0.699595979417408,0.8097337662337661,0.9078690951785309
dcor|distance_corr|difference|max,mixed,0.6557943722943723,0.4892121212121212,0.430700073019939,0.0,0.2163268398268398,0.7310270562770563,0.6841173160173161,0.7716573002557178
dcor|distance_corr|difference|max,nonlinear,0.348844696969697,0.5136363636363637,0.374534632034632,0.007784090909090909,0.37636363636363634,0.48480790043290045,0.6146780303030303,0.8656448473493489
dcor|distance_corr|difference|mean,linear,0.5583370439084725,0.8152380952380952,0.6147050409907553,0.09178772418058133,0.09523840445269016,0.7196280743066457,0.8449134199134198,0.9059781170939631
dcor|distance_corr|difference|mean,mixed,0.6991366749192837,0.5961212121212122,0.509505977919063,0.0,0.15222263244002374,0.7602592041072673,0.7529393939393939,0.775812916913137
dcor|distance_corr|difference|mean,nonlinear,0.3752516233766234,0.6193181818181818,0.4165584415584415,0.014380411255411256,0.34718073593073595,0.5179924242424242,0.6917478354978356,0.8653299806462142
dcor|distance_corr|difference|sum,linear,0.6428928571428572,0.7104761904761905,0.637265329908187,0.00042857142857142866,0.15139285714285713,0.6951367085295657,0.8056818181818182,0.9063704497219517
dcor|distance_corr|difference|sum,mixed,0.6338484848484849,0.4677575757575757,0.40572785860021543,0.0,0.23354545454545453,0.7230448773448773,0.6648454545454546,0.7698058431279451
dcor|distance_corr|difference|sum,nonlinear,0.3545265151515152,0.5181818181818182,0.37975108225108223,0.010511363636363636,0.3604924242424243,0.4852056277056277,0.619832251082251,0.8652732501171317
dcor|distance_corr|multiplicative|max,linear,0.5547390982033839,0.7340476190476191,0.5768459383753501,0.008748822605965462,0.24683922030350602,0.6937783446712018,0.7971569264069264,0.9066760743811282
dcor|distance_corr|multiplicative|max,mixed,0.6256446289972911,0.6722424242424243,0.5067606463329303,0.0,0.21350544315278097,0.792307944010394,0.7756186147186147,0.7938514954428163
dcor|distance_corr|multiplicative|max,nonlinear,0.329767316017316,0.6454545454545455,0.3897420634920635,0.07356601731601732,0.3938690476190476,0.5293290043290043,0.6475919913419914,0.8920937544927514
dcor|distance_corr|multiplicative|mean,linear,0.49384932924218644,0.8521428571428571,0.5701862766085455,0.12017893614322187,0.15134728763300193,0.7128026774812489,0.8379372294372294,0.9036789596802627
