operator,p,seed,k,downstream_score,recovery_f1,noise_rate,recall_informative,average_precision,roc_auc,runtime_s
difference,500,0,20,0.9435897435897436,0.5,0.5,0.8,0.29819047619047623,0.8866666666666668,0.07892045803600922
difference,500,1,20,0.9423076923076923,0.55,0.45,0.6,0.11007142857142857,0.7814141414141414,0.07508979202248156
difference,500,2,20,0.9076851261349516,0.55,0.45,1.0,0.7611111111111111,0.9963636363636365,0.07836433401098475
difference,500,3,20,0.9294871794871795,0.5,0.5,0.4,0.10343589743589743,0.6838383838383837,0.07499687495874241
difference,500,4,20,0.9180424877211669,0.55,0.45,0.6,0.154,0.7842424242424243,0.0752147079911083
difference,500,5,20,0.9705128205128205,0.5,0.5,0.6,0.604,0.7931313131313132,0.0741789999883622
difference,500,6,20,0.9256410256410257,0.65,0.35,0.8,0.31061111111111117,0.8806060606060606,0.07474966696463525
difference,500,7,20,0.9217948717948719,0.5,0.5,0.4,0.05175163398692811,0.6797979797979797,0.07939504197565839
difference,500,8,20,0.9513211789689611,0.6,0.4,0.8,0.23987878787878786,0.8870707070707071,0.07682483299868181
difference,500,9,20,0.867948717948718,0.5,0.5,0.6,0.11185714285714285,0.7826262626262627,0.07660958298947662
multiplicative,500,0,20,0.9448717948717948,0.8000000000000002,0.2,0.8,0.382,0.8911111111111112,0.07882829097798094
multiplicative,500,1,20,0.9474358974358974,0.75,0.25,0.6,0.14923809523809523,0.7858585858585859,0.07763429201440886
multiplicative,500,2,20,0.9243749137075195,0.85,0.15,1.0,0.6644444444444444,0.9955555555555555,0.07698516600066796
multiplicative,500,3,20,0.9243589743589744,0.7,0.3,0.6,0.14733333333333332,0.7858585858585859,0.07883729197783396
multiplicative,500,4,20,0.9180622127542064,0.65,0.35,0.6,0.18854545454545452,0.7874747474747475,0.07666608301224187
multiplicative,500,5,20,0.9743589743589743,0.85,0.15,0.6,0.33614285714285713,0.7890909090909092,0.07624929101439193
multiplicative,500,6,20,0.9320512820512821,0.9,0.1,0.8,0.38475058275058277,0.8882828282828283,0.08051220799097791
multiplicative,500,7,20,0.9358974358974359,0.8000000000000002,0.2,0.4,0.08933333333333335,0.6846464646464645,0.07919345801929012
multiplicative,500,8,20,0.9628630037015364,0.85,0.15,0.8,0.3325555555555556,0.8907070707070708,0.08274579199496657
multiplicative,500,9,20,0.891025641025641,0.7,0.3,0.6,0.223047619047619,0.7890909090909092,0.07584820897318423
quotient,500,0,20,0.8974358974358974,0.35,0.65,0.2,0.023384615384615386,0.5797979797979798,0.07785425003385171
quotient,500,1,20,0.9128205128205128,0.3,0.7,0.0,0.01,0.4797979797979798,0.07665658299811184
quotient,500,2,20,0.9064195030868053,0.35,0.65,0.6,0.3211428571428572,0.7882828282828284,0.07794637500774115
quotient,500,3,20,0.8782051282051282,0.25,0.75,0.2,0.030222222222222223,0.5814141414141414,0.07723716698819771
quotient,500,4,20,0.9013255222202496,0.3,0.7,0.6,0.13643697478991595,0.7838383838383839,0.07743295800173655
quotient,500,5,20,0.9628205128205127,0.35,0.65,0.6,0.3897142857142857,0.7907070707070708,0.07741433300543576
quotient,500,6,20,0.8961538461538462,0.35,0.65,0.4,0.2367692307692308,0.6846464646464645,0.08480999997118488
quotient,500,7,20,0.8653846153846154,0.3,0.7,0.2,0.021333333333333336,0.5789898989898989,0.07758916699094698
quotient,500,8,20,0.9154366563882734,0.3,0.7,0.2,0.023384615384615386,0.5797979797979798,0.07665862498106435
quotient,500,9,20,0.8512820512820514,0.3,0.7,0.2,0.018526315789473682,0.5773737373737373,0.07838179101236165
reg_quotient,500,0,20,0.9448717948717948,0.7,0.3,0.8,0.197982905982906,0.8850505050505051,0.07874949998222291
reg_quotient,500,1,20,0.9474358974358974,0.65,0.35,0.6,0.13344444444444442,0.7846464646464647,0.07559662498533726
reg_quotient,500,2,20,0.9217976449549307,0.7,0.3,1.0,0.8253968253968254,0.9971717171717173,0.07552291598403826
reg_quotient,500,3,20,0.9230769230769231,0.55,0.45,0.6,0.1535238095238095,0.7846464646464647,0.07585824996931478
reg_quotient,500,4,20,0.9167702230901237,0.6,0.4,0.6,0.3873333333333333,0.791919191919192,0.07481462502619252
reg_quotient,500,5,20,0.9692307692307692,0.65,0.35,0.6,0.604,0.7931313131313132,0.07537904201308265
reg_quotient,500,6,20,0.9346153846153846,0.8000000000000002,0.2,0.8,0.3499020979020979,0.8858585858585859,0.07832158298697323
reg_quotient,500,7,20,0.9307692307692308,0.65,0.35,0.4,0.096,0.6846464646464645,0.07540362497093156
reg_quotient,500,8,20,0.9577479141874701,0.65,0.35,0.8,0.4442222222222222,0.8931313131313132,0.07849912496749312
reg_quotient,500,9,20,0.8923076923076922,0.6,0.4,0.6,0.2252121212121212,0.7882828282828284,0.07538100000238046
difference,1000,0,20,0.95,0.5,0.5,0.8,0.2971904761904762,0.8933668341708544,0.14303658303106204
difference,1000,1,20,0.9538461538461538,0.5,0.5,0.6,0.094991452991453,0.7903517587939699,0.14171999995596707
difference,1000,2,20,0.9230501186727066,0.55,0.45,1.0,0.740909090909091,0.9977889447236181,0.1419437089934945
difference,1000,3,20,0.9102952682134662,0.5,0.5,0.6,0.19485714285714284,0.7929648241206032,0.14314587495755404
difference,1000,4,20,0.9396675849282375,0.55,0.45,0.6,0.16357894736842105,0.7921608040201006,0.14247700001578778
difference,1000,5,20,0.9730866080644843,0.5,0.5,0.6,0.602,0.7965829145728643,0.1431161669897847
difference,1000,6,20,0.9256668354164064,0.65,0.35,0.8,0.3072719298245614,0.8901507537688442,0.14227979199495167
difference,1000,7,20,0.9012518162512574,0.5,0.5,0.4,0.06522222222222224,0.6905527638190954,0.14321641699643806
difference,1000,8,20,0.9551282051282051,0.6,0.4,0.8,0.3343333333333333,0.8953768844221106,0.14383670897223055
difference,1000,9,20,0.8704363605283401,0.5,0.5,0.6,0.11315384615384616,0.7915577889447237,0.14654783403966576
multiplicative,1000,0,20,0.9461538461538461,0.8000000000000002,0.2,0.8,0.381,0.8955778894472363,0.1476535419933498
multiplicative,1000,1,20,0.9628205128205128,0.75,0.25,0.6,0.14723809523809522,0.7929648241206031,0.1444018330075778
multiplicative,1000,2,20,0.925614238094925,0.85,0.15,1.0,0.5968253968253969,0.9971859296482413,0.1457789999549277
multiplicative,1000,3,20,0.9166825554408642,0.65,0.35,0.6,0.17866666666666664,0.79356783919598,0.15372079203370959
multiplicative,1000,4,20,0.9370837415104636,0.65,0.35,0.6,0.18654545454545457,0.7937688442211056,0.1443089580279775
multiplicative,1000,5,20,0.9730931827296695,0.75,0.25,0.6,0.32580952380952377,0.7943718592964825,0.14790558302775025
multiplicative,1000,6,20,0.9320935706349154,0.9,0.1,0.8,0.38375058275058277,0.8941708542713568,0.1457812919979915
multiplicative,1000,7,20,0.912760767657907,0.75,0.25,0.4,0.08633333333333335,0.692361809045226,0.14551679202122614
multiplicative,1000,8,20,0.9602564102564102,0.85,0.15,0.8,0.30480952380952386,0.8947738693467338,0.14600025000981987
multiplicative,1000,9,20,0.8833029802957284,0.7,0.3,0.6,0.21533333333333332,0.7943718592964825,0.14619400002993643
quotient,1000,0,20,0.8705128205128205,0.25,0.75,0.2,0.018285714285714287,0.589748743718593,0.14605174999451265
quotient,1000,1,20,0.8384615384615384,0.20000000000000004,0.8,0.0,0.005,0.4899497487437186,0.14510974998120219
