part,dataset,operator,k,precision,recall,f1,noise_rate,average_precision,roc_auc,downstream
recovery,madelon_synth,difference,5,0.4,0.4,0.4000000000000001,0.0,0.20600000000000002,0.6969696969696969,
recovery,madelon_synth,difference,10,0.2,0.4,0.26666666666666666,0.3,0.20600000000000002,0.693939393939394,
recovery,madelon_synth,difference,20,0.2,0.8,0.32000000000000006,0.5,0.29819047619047623,0.8866666666666668,
recovery,madelon_synth,multiplicative,5,0.4,0.4,0.4000000000000001,0.0,0.23933333333333334,0.6973737373737373,
recovery,madelon_synth,multiplicative,10,0.4,0.8,0.5333333333333333,0.0,0.382,0.8931313131313132,
recovery,madelon_synth,multiplicative,20,0.2,0.8,0.32000000000000006,0.2,0.382,0.8911111111111112,
recovery,madelon_synth,quotient,5,0.0,0.0,0.0,0.6,0.01,0.494949494949495,
recovery,madelon_synth,quotient,10,0.0,0.0,0.0,0.6,0.01,0.4898989898989899,
recovery,madelon_synth,quotient,20,0.05,0.2,0.08000000000000002,0.65,0.022285714285714284,0.5793939393939394,
recovery,madelon_synth,mult+MAX,5,0.4,0.4,0.4000000000000001,0.0,0.20600000000000002,0.6969696969696969,
recovery,madelon_synth,mult+MAX,10,0.2,0.4,0.26666666666666666,0.0,0.20600000000000002,0.693939393939394,
recovery,madelon_synth,mult+MAX,20,0.15,0.6,0.24,0.35,0.2585454545454545,0.7886868686868688,
downstream,madelon,difference,5,,,,,,,0.6066447368421053
downstream,madelon,difference,10,,,,,,,0.6216447368421052
downstream,madelon,difference,20,,,,,,,0.6432236842105263
downstream,madelon,multiplicative,5,,,,,,,0.7258552631578947
downstream,madelon,multiplicative,10,,,,,,,0.8490131578947369
downstream,madelon,multiplicative,20,,,,,,,0.8596052631578948
downstream,madelon,quotient,5,,,,,,,0.5686842105263158
downstream,madelon,quotient,10,,,,,,,0.6370394736842104
downstream,madelon,quotient,20,,,,,,,0.6176315789473684
downstream,madelon,mult+MAX,5,,,,,,,0.6421052631578947
downstream,madelon,mult+MAX,10,,,,,,,0.5961184210526316
downstream,madelon,mult+MAX,20,,,,,,,0.7313157894736841
downstream,isolet,difference,5,,,,,,,0.38705666961698937
downstream,isolet,difference,10,,,,,,,0.5075829202653167
downstream,isolet,difference,20,,,,,,,0.6738315919860173
downstream,isolet,multiplicative,5,,,,,,,0.2586034369133569
downstream,isolet,multiplicative,10,,,,,,,0.4300099096353327
downstream,isolet,multiplicative,20,,,,,,,0.6350986458401695
downstream,isolet,quotient,5,,,,,,,0.2714053344626686
downstream,isolet,quotient,10,,,,,,,0.47020395432364764
downstream,isolet,quotient,20,,,,,,,0.6189918460824172
downstream,isolet,mult+MAX,5,,,,,,,0.3517991665210666
downstream,isolet,mult+MAX,10,,,,,,,0.46924318014289335
downstream,isolet,mult+MAX,20,,,,,,,0.6649371822084323
