kind,dataset,p,operator,aggregation,k,recovery_f1,noise_rate,recall_informative,average_precision,roc_auc,downstream_score,runtime_s
real,arcene,10000,difference,mean,5,,,,,,0.6996606334841629,2.057334812596673
real,arcene,10000,difference,mean,10,,,,,,0.7230769230769231,1.9636089333042037
real,arcene,10000,difference,mean,20,,,,,,0.76289592760181,1.992829541687388
real,arcene,10000,multiplicative,max,5,,,,,,0.7226244343891403,2.114631262799958
real,arcene,10000,multiplicative,max,10,,,,,,0.7345022624434389,2.475285962491762
real,arcene,10000,multiplicative,max,20,,,,,,0.7478506787330317,2.30523820410599
real,arcene,10000,multiplicative,mean,5,,,,,,0.7496606334841629,2.0213635457854253
real,arcene,10000,multiplicative,mean,10,,,,,,0.7440045248868778,1.9697161752032115
real,arcene,10000,multiplicative,mean,20,,,,,,0.7668552036199096,2.0434687916073018
real,arcene,10000,quotient,mean,5,,,,,,0.6438914027149322,1.9828320081927813
real,arcene,10000,quotient,mean,10,,,,,,0.6591628959276018,2.038741999905324
real,arcene,10000,quotient,mean,20,,,,,,0.6918552036199095,2.14434747940395
real,isolet,617,difference,mean,5,,,,,,0.34978632478632476,0.09790445020189509
real,isolet,617,difference,mean,10,,,,,,0.505897435897436,0.09962856681086123
real,isolet,617,difference,mean,20,,,,,,0.6476068376068376,0.10708367100451141
real,isolet,617,multiplicative,max,5,,,,,,0.300982905982906,0.0972664583940059
real,isolet,617,multiplicative,max,10,,,,,,0.4818376068376068,0.10190774179063737
real,isolet,617,multiplicative,max,20,,,,,,0.6677777777777778,0.10953952931449748
real,isolet,617,multiplicative,mean,5,,,,,,0.26384615384615384,0.09728492510039359
real,isolet,617,multiplicative,mean,10,,,,,,0.45867521367521363,0.10110088320216164
real,isolet,617,multiplicative,mean,20,,,,,,0.6188888888888889,0.11011452500824817
real,isolet,617,quotient,mean,5,,,,,,0.304017094017094,0.09695885828696191
real,isolet,617,quotient,mean,10,,,,,,0.5272649572649573,0.1000332914001774
real,isolet,617,quotient,mean,20,,,,,,0.6742735042735043,0.10796397900558077
real,madelon,500,difference,mean,5,,,,,,0.5923076923076923,0.06787987480056472
real,madelon,500,difference,mean,10,,,,,,0.6023076923076923,0.07085816250764765
real,madelon,500,difference,mean,20,,,,,,0.6471794871794871,0.0776312458096072
real,madelon,500,multiplicative,max,5,,,,,,0.6197435897435898,0.06705215010442771
real,madelon,500,multiplicative,max,10,,,,,,0.6867948717948718,0.07096007931395434
real,madelon,500,multiplicative,max,20,,,,,,0.6978205128205128,0.07825211251038126
real,madelon,500,multiplicative,mean,5,,,,,,0.7273076923076923,0.0676986624894198
real,madelon,500,multiplicative,mean,10,,,,,,0.8197435897435896,0.07176941261277534
real,madelon,500,multiplicative,mean,20,,,,,,0.8412820512820514,0.07996787930023856
real,madelon,500,quotient,mean,5,,,,,,0.5664102564102564,0.06687711649574339
real,madelon,500,quotient,mean,10,,,,,,0.5935897435897436,0.07026082910597324
real,madelon,500,quotient,mean,20,,,,,,0.5897435897435896,0.0785459877923131
real,riboflavin,4088,difference,mean,5,,,,,,0.4934575660288463,0.578132374904817
real,riboflavin,4088,difference,mean,10,,,,,,0.5252311828736855,0.5876693416037597
real,riboflavin,4088,difference,mean,20,,,,,,0.4981431801462497,0.6011428583005909
real,riboflavin,4088,multiplicative,max,5,,,,,,0.5122802264227857,0.5795232457108795
real,riboflavin,4088,multiplicative,max,10,,,,,,0.5469672584299212,0.5922275124001317
real,riboflavin,4088,multiplicative,max,20,,,,,,0.5173335803871154,0.6198338704998605
real,riboflavin,4088,multiplicative,mean,5,,,,,,0.5037163138407229,0.5828234165965114
real,riboflavin,4088,multiplicative,mean,10,,,,,,0.5158985280919366,0.5832678248989396
real,riboflavin,4088,multiplicative,mean,20,,,,,,0.5048592683752517,0.6438079292012844
real,riboflavin,4088,quotient,mean,5,,,,,,0.23264029534939193,0.5709704666864127
real,riboflavin,4088,quotient,mean,10,,,,,,0.3971792495992934,0.5887568541977088
real,riboflavin,4088,quotient,mean,20,,,,,,0.5133443586465577,0.6138649040018208
synthetic,synthetic_p1000,1000,difference,mean,5,0.336,0.16,0.3,0.20216666666666666,0.6482814070351759,,0.13413527079974302
synthetic,synthetic_p1000,1000,difference,mean,10,0.4866666666666667,0.27,0.42000000000000004,0.23528888888888888,0.7065025125628142,,0.13827547518885694
synthetic,synthetic_p1000,1000,difference,mean,20,0.5349999999999999,0.465,0.6799999999999999,0.29135084418505475,0.8330854271356785,,0.1479888540925458
synthetic,synthetic_p1000,1000,multiplicative,max,5,0.4,0.0,0.24,0.1518,0.6181306532663317,,0.13335826249676758
synthetic,synthetic_p1000,1000,multiplicative,max,10,0.5933333333333334,0.11000000000000001,0.5599999999999999,0.24473174603174602,0.7761206030150753,,0.13791050010477193
synthetic,synthetic_p1000,1000,multiplicative,max,20,0.5349999999999999,0.465,0.62,0.25904713064713064,0.8038693467336684,,0.14808957498753444
synthetic,synthetic_p1000,1000,multiplicative,mean,5,0.4,0.0,0.24000000000000005,0.14146666666666668,0.6181306532663317,,0.13408906660042702
synthetic,synthetic_p1000,1000,multiplicative,mean,10,0.6666666666666666,0.0,0.62,0.263868253968254,0.8061407035175879,,0.1382931627042126
synthetic,synthetic_p1000,1000,multiplicative,mean,20,0.765,0.23499999999999996,0.6799999999999999,0.28063119103119105,0.8343115577889447,,0.14825211240677164
synthetic,synthetic_p1000,1000,quotient,mean,5,0.11200000000000002,0.72,0.1,0.0795,0.5478190954773869,,0.1327052876120433
synthetic,synthetic_p1000,1000,quotient,mean,10,0.19333333333333333,0.71,0.2,0.11034920634920635,0.5955778894472361,,0.13827452079858632
synthetic,synthetic_p1000,1000,quotient,mean,20,0.26,0.74,0.27999999999999997,0.11842539682539684,0.6314572864321608,,0.14815922488924116
synthetic,synthetic_p1000,1000,reg_quotient,mean,5,0.4,0.0,0.38,0.2634333333333333,0.6885226130653266,,0.13038260421017184
synthetic,synthetic_p1000,1000,reg_quotient,mean,10,0.6399999999999999,0.04,0.58,0.3347190476190476,0.7868442211055277,,0.13436731229885482
synthetic,synthetic_p1000,1000,reg_quotient,mean,20,0.625,0.375,0.6799999999999999,0.3581001665001665,0.8348743718592966,,0.14294238329748624
synthetic,synthetic_p10000,10000,difference,mean,5,0.32,0.2,0.32,0.19867333333333334,0.6598279139569785,,2.23146673340234
synthetic,synthetic_p10000,10000,difference,mean,10,0.4866666666666667,0.27,0.42000000000000004,0.22569476190476193,0.709647823911956,,2.2562309708911927
synthetic,synthetic_p10000,10000,difference,mean,20,0.52,0.48,0.64,0.27450146766202493,0.8193076538269135,,2.3122138708014974
synthetic,synthetic_p10000,10000,multiplicative,max,5,0.4,0.0,0.26,0.15070333333333336,0.6298169084542271,,2.1834419209044427
