dataset,dependence,task,method,operator,aggregation,relevance,redundancy,stop_mode,k,score_threshold,seed,precision,recall,f1,redundancy_rate,noise_rate,downstream_score,runtime_s
parabola,nonlinear,regression,MID,difference,mean,mutual_info_sklearn,mutual_info_sklearn,fixed_k,1,,0,1.0,1.0,1.0,0.0,0.0,0.906346591701269,1.2700407079828437
parabola,nonlinear,regression,MID,difference,mean,mutual_info_sklearn,mutual_info_sklearn,fixed_k,2,,0,0.5,1.0,0.6666666666666666,0.0,0.5,0.8968320290211638,0.07585720799397677
parabola,nonlinear,regression,MID,difference,mean,mutual_info_sklearn,mutual_info_sklearn,fixed_k,5,,0,0.2,1.0,0.33333333333333337,0.2,0.4,0.9085581561808014,0.08001024997793138
parabola,nonlinear,regression,MID,difference,mean,mutual_info_sklearn,mutual_info_sklearn,threshold,4,0.0,0,0.25,1.0,0.4,0.25,0.25,0.9082237203730702,0.07782437501009554
parabola,nonlinear,regression,MID,difference,mean,mutual_info_sklearn,mutual_info_sklearn,threshold,1,0.05,0,1.0,1.0,1.0,0.0,0.0,0.906346591701269,0.07819445899804123
parabola,nonlinear,regression,MID,difference,mean,mutual_info_sklearn,mutual_info_sklearn,threshold,1,0.1,0,1.0,1.0,1.0,0.0,0.0,0.906346591701269,0.07743825000943616
parabola,nonlinear,regression,MIQ,quotient,mean,mutual_info_sklearn,mutual_info_sklearn,fixed_k,1,,0,1.0,1.0,1.0,0.0,0.0,0.906346591701269,0.075758708990179
parabola,nonlinear,regression,MIQ,quotient,mean,mutual_info_sklearn,mutual_info_sklearn,fixed_k,2,,0,0.5,1.0,0.6666666666666666,0.0,0.5,0.8968320290211638,0.0759032079949975
parabola,nonlinear,regression,MIQ,quotient,mean,mutual_info_sklearn,mutual_info_sklearn,fixed_k,5,,0,0.2,1.0,0.33333333333333337,0.2,0.4,0.9085581561808014,0.07907687497208826
parabola,nonlinear,regression,MIQ,quotient,mean,mutual_info_sklearn,mutual_info_sklearn,threshold,8,0.0,0,0.125,1.0,0.2222222222222222,0.125,0.625,0.9053235092815098,0.08382654198794626
parabola,nonlinear,regression,MIQ,quotient,mean,mutual_info_sklearn,mutual_info_sklearn,threshold,4,0.05,0,0.25,1.0,0.4,0.25,0.25,0.9082237203730702,0.07812362498953007
parabola,nonlinear,regression,MIQ,quotient,mean,mutual_info_sklearn,mutual_info_sklearn,threshold,4,0.1,0,0.25,1.0,0.4,0.25,0.25,0.9082237203730702,0.08048991599935107
