dataset,family,precision,recall,f1,redundancy_rate,noise_rate,downstream_score
linear_control_clf,linear,0.5987103174603174,0.8958333333333334,0.6224426807760142,0.0,0.31860119047619045,0.884480307274425
linear_control_clf,mixed,0.5329365079365079,0.9166666666666666,0.5828924162257496,0.0,0.40059523809523806,0.8920488305515044
linear_control_clf,nonlinear,0.6333333333333334,0.7777777777777778,0.6402116402116401,0.0,0.24645061728395062,0.8859752349057162
linear_control_reg,linear,0.5213293650793651,0.8263888888888888,0.5494488536155203,0.0,0.3117559523809524,0.8336035251155569
linear_control_reg,mixed,0.530952380952381,0.9166666666666666,0.5804232804232804,0.0,0.37023809523809526,0.8999338976423693
linear_control_reg,nonlinear,0.6033950617283951,0.7777777777777778,0.6317460317460317,0.0,0.2155864197530864,0.8933114757458044
mixed,linear,0.20417768959435625,0.5833333333333334,0.2889810806477473,0.0,0.24164462081128749,0.8421726190476191
mixed,mixed,0.17539682539682538,0.6111111111111112,0.2703944203944204,0.0,0.29365079365079366,0.8740079365079365
mixed,nonlinear,0.2169753086419753,0.39814814814814814,0.2591790925124259,0.0,0.2234567901234568,0.8699338624338624
nonlin_redundancy_clf,linear,0.4197420634920635,1.0,0.5277447089947089,0.0,0.43134920634920637,0.8847272432332222
nonlin_redundancy_clf,mixed,0.3728835978835979,1.0,0.4845238095238095,0.0,0.4486772486772487,0.8888039179335063
nonlin_redundancy_clf,nonlinear,0.5634920634920635,1.0,0.6614197530864198,0.0,0.4211640211640212,0.8811951551106167
nonlin_redundancy_reg,linear,0.4197420634920635,1.0,0.527612433862434,0.0,0.36884920634920637,0.9811910321620996
nonlin_redundancy_reg,mixed,0.3738095238095238,1.0,0.48558201058201056,0.0,0.4468253968253968,0.9812685825535437
nonlin_redundancy_reg,nonlinear,0.5721340388007055,1.0,0.6608024691358025,0.0,0.35912698412698413,0.9809309133766365
parabola,linear,0.08778108465608465,0.3888888888888889,0.13277116402116404,0.10332341269841269,0.40973875661375664,0.9612973549060018
parabola,mixed,0.020833333333333332,0.16666666666666666,0.037037037037037035,0.11342592592592592,0.49675925925925923,0.9607606415295079
parabola,nonlinear,0.2300925925925926,0.5555555555555556,0.28721340388007055,0.06280864197530864,0.308179012345679,0.9598002586388178
probe_breast_cancer,linear,0.9267159057540182,0.3969348659003831,0.4301612363167452,0.0,0.07328409424598172,0.9208502860135354
probe_breast_cancer,mixed,0.9001134373314824,0.4904761904761905,0.5016824970053204,0.0,0.09988656266851755,0.9312312249666221
probe_breast_cancer,nonlinear,0.8367849673982654,0.23862433862433863,0.28321208495261985,0.0,0.16321503260173464,0.9109460762498146
probe_diabetes,linear,0.8291659252932873,0.5942528735632184,0.56568740781979,0.0,0.1708340747067127,0.23602192399134056
probe_diabetes,mixed,0.7786029616524973,0.6619047619047619,0.5876342534799021,0.0,0.22139703834750274,0.249242284280034
probe_diabetes,nonlinear,0.6764948014948016,0.3142857142857143,0.337207438677418,0.0,0.3235051985051985,0.14582613860396215
radial,linear,0.17900132275132274,0.4513888888888889,0.23622134038800707,0.0,0.43774801587301587,0.8131944444444444
radial,mixed,0.13611111111111113,0.4444444444444444,0.20634920634920637,0.0,0.5013888888888889,0.8256944444444445
radial,nonlinear,0.6052469135802468,0.7685185185185185,0.6291005291005292,0.0,0.2155864197530864,0.9106481481481481
sine,linear,0.15679563492063492,0.6666666666666666,0.2309854497354497,0.05375330687830688,0.6465443121693122,0.5250964593640569
sine,mixed,0.09781746031746032,0.6111111111111112,0.167989417989418,0.020833333333333332,0.7446428571428572,0.46818732124579693
sine,nonlinear,0.5628086419753087,1.0,0.6568783068783068,0.03904320987654321,0.3433641975308642,0.9605771806443859
xor,linear,0.3328042328042328,0.6805555555555556,0.4048059964726632,0.0,0.6671957671957672,0.7568292763183363
xor,mixed,0.35013227513227513,0.7777777777777778,0.4387125220458554,0.0,0.6498677248677249,0.8225481770530896
xor,nonlinear,0.13919753086419753,0.2777777777777778,0.17680776014109348,0.0,0.8608024691358025,0.5436987227628994
