dataset,dependence,task,method,operator,aggregation,relevance,redundancy,stop_mode,k,score_threshold,seed,precision,recall,f1,redundancy_rate,noise_rate,downstream_score,runtime_s
parabola,nonlinear,regression,MID,difference,mean,mutual_info_sklearn,mutual_info_sklearn,val_fixed_k,2,,0,0.5,1.0,0.6666666666666666,0.0,0.5,0.8968320290211638,1.5428400820237584
parabola,nonlinear,regression,MID,difference,mean,mutual_info_sklearn,mutual_info_sklearn,val_threshold,1,0.1,0,1.0,1.0,1.0,0.0,0.0,0.906346591701269,0.3987546680145897
parabola,nonlinear,regression,MIQ,quotient,mean,mutual_info_sklearn,mutual_info_sklearn,val_fixed_k,1,,0,1.0,1.0,1.0,0.0,0.0,0.906346591701269,0.4173892090038862
parabola,nonlinear,regression,MIQ,quotient,mean,mutual_info_sklearn,mutual_info_sklearn,val_threshold,8,0.0,0,0.125,1.0,0.2222222222222222,0.125,0.625,0.9053235092815098,0.4673680840060115
parabola,nonlinear,regression,MIFS,difference,sum,mutual_info_sklearn,mutual_info_sklearn,val_fixed_k,2,,0,0.5,1.0,0.6666666666666666,0.0,0.5,0.8968320290211638,0.41515479097142816
parabola,nonlinear,regression,MIFS,difference,sum,mutual_info_sklearn,mutual_info_sklearn,val_threshold,3,0.0,0,0.3333333333333333,1.0,0.5,0.0,0.6666666666666666,0.8924081006399972,0.37665258202468976
parabola,nonlinear,regression,FCD,difference,mean,f_regression,pearson_abs,val_fixed_k,1,,0,0.0,0.0,0.0,0.0,0.0,0.9173627514967646,0.16993233398534358
parabola,nonlinear,regression,FCD,difference,mean,f_regression,pearson_abs,val_threshold,5,0.1,0,0.0,0.0,0.0,0.0,0.8,0.9021503142454649,0.24158554102177732
parabola,nonlinear,regression,FCQ,quotient,mean,f_regression,pearson_abs,val_fixed_k,1,,0,0.0,0.0,0.0,0.0,0.0,0.9173627514967646,0.16905391699401662
parabola,nonlinear,regression,FCQ,quotient,mean,f_regression,pearson_abs,val_threshold,8,0.0,0,0.125,1.0,0.2222222222222222,0.125,0.625,0.9002411146965925,0.2568630820023827
parabola,nonlinear,regression,ModMRMR,multiplicative,max,f_regression,pearson_abs,val_fixed_k,1,,0,0.0,0.0,0.0,0.0,0.0,0.9173627514967646,0.17136074998416007
parabola,nonlinear,regression,ModMRMR,multiplicative,max,f_regression,pearson_abs,val_threshold,5,0.1,0,0.0,0.0,0.0,0.0,0.8,0.9021503142454649,0.2486399170011282
parabola,nonlinear,regression,ModMRMR_dcor,multiplicative,max,f_regression,distance_corr,val_fixed_k,2,,0,0.0,0.0,0.0,0.0,0.5,0.9123961010257415,0.19369808299234137
parabola,nonlinear,regression,ModMRMR_dcor,multiplicative,max,f_regression,distance_corr,val_threshold,5,0.1,0,0.0,0.0,0.0,0.0,0.8,0.9021503142454649,0.2646385009866208
parabola,nonlinear,regression,skb_f,,,,,val_fixed_k,1,,0,0.0,0.0,0.0,0.0,0.0,0.9173627514967646,0.13671654296922497
parabola,nonlinear,regression,skb_mi,,,,,val_fixed_k,1,,0,1.0,1.0,1.0,0.0,0.0,0.906346591701269,0.16213508500368334
parabola,nonlinear,regression,MID,difference,mean,mutual_info_sklearn,mutual_info_sklearn,val_fixed_k,1,,1,0.0,0.0,0.0,0.0,0.0,0.988878729852964,0.3989567510143388
