benchmark,scorer,n,p,data_kind,seed,status,median_s,iqr_s,repeats,projected_s
end_to_end,gcmi,500,50,continuous,20260727,ok,0.01867783401394263,0.000795166939496994,5,
end_to_end,gcmi,500,50,discrete,20260728,ok,0.016212415997870266,0.00026183202862739563,5,
end_to_end,gcmi,500,200,continuous,20260729,ok,0.05738949996884912,0.0020394170423969626,5,
end_to_end,gcmi,500,200,discrete,20260730,ok,0.05161891697207466,0.00054070696933195,5,
end_to_end,gcmi,2000,50,continuous,20260731,ok,0.02901445800671354,0.0003303339472040534,5,
end_to_end,gcmi,2000,50,discrete,20260732,ok,0.026092917018104345,0.0004537089844234288,5,
end_to_end,gcmi,2000,200,continuous,20260733,ok,0.10783133300719783,0.0019445409998297691,5,
end_to_end,gcmi,2000,200,discrete,20260734,ok,0.08310024999082088,0.0015919579891487956,5,
end_to_end,mixed_ksg,500,50,continuous,20260735,ok,0.7718854999984615,0.004942041996400803,5,
end_to_end,mixed_ksg,500,50,discrete,20260736,ok,0.8298216250259429,0.006130583991762251,5,
end_to_end,mixed_ksg,500,200,continuous,20260737,ok,12.30230300000403,0.31345391704235226,5,
end_to_end,mixed_ksg,500,200,discrete,20260738,ok,12.928015750017948,0.0346989170066081,5,
end_to_end,mixed_ksg,2000,50,continuous,20260739,ok,2.6099327499978244,0.017377625044900924,5,
end_to_end,mixed_ksg,2000,50,discrete,20260740,ok,2.9359926249599084,0.04800658399472013,5,
end_to_end,mixed_ksg,2000,200,continuous,20260741,ok,40.88416600000346,0.014216625015251338,5,
end_to_end,mixed_ksg,2000,200,discrete,20260742,ok,45.506882624991704,0.08268483297433704,5,
end_to_end,mutual_info_sklearn,500,50,continuous,20260743,ok,2.7122612080420367,0.007117999950423837,5,
end_to_end,mutual_info_sklearn,500,50,discrete,20260744,ok,2.529519374947995,0.04313895798986778,5,
end_to_end,mutual_info_sklearn,500,200,continuous,20260745,ok,43.15556229202775,0.09968949895119295,5,
end_to_end,mutual_info_sklearn,500,200,discrete,20260746,ok,40.03721079201205,0.2776115410379134,5,
end_to_end,mutual_info_sklearn,2000,50,continuous,20260747,ok,8.455768542014994,0.2292843330069445,5,
end_to_end,mutual_info_sklearn,2000,50,discrete,20260748,ok,8.194544041005429,0.009155293053481728,5,
end_to_end,mutual_info_sklearn,2000,200,continuous,20260749,ok,133.78592499997467,0.37477925000712276,5,
end_to_end,mutual_info_sklearn,2000,200,discrete,20260750,skipped_projected_cost,,,0,126.0416323535893
end_to_end,pearson_abs,500,50,continuous,20260719,ok,0.00950525002554059,0.00010541599476709962,5,
end_to_end,pearson_abs,500,50,discrete,20260720,ok,0.009491624950896949,1.9084021914750338e-05,5,
end_to_end,pearson_abs,500,200,continuous,20260721,ok,0.025660332990810275,9.962503099814057e-05,5,
end_to_end,pearson_abs,500,200,discrete,20260722,ok,0.0258794580004178,0.0001550839515402913,5,
end_to_end,pearson_abs,2000,50,continuous,20260723,ok,0.010048583033494651,9.512499673292041e-05,5,
end_to_end,pearson_abs,2000,50,discrete,20260724,ok,0.010117500030901283,3.733299672603607e-05,5,
end_to_end,pearson_abs,2000,200,continuous,20260725,ok,0.02800208400003612,0.00011525099398568273,5,
end_to_end,pearson_abs,2000,200,discrete,20260726,ok,0.028052792011294514,5.299900658428669e-05,5,
