benchmark,scorer,n,p,data_kind,seed,status,median_s,iqr_s,repeats,projected_s
scorer_scaling,ami_adaptive,200,0,continuous,20260845,ok,0.00033129198709502816,4.370801616460085e-05,5,
scorer_scaling,ami_adaptive,200,0,discrete,20260846,ok,0.000399957993067801,9.501003660261631e-06,5,
scorer_scaling,ami_adaptive,200,0,mixed,20260847,ok,0.0003287079744040966,1.0167015716433525e-05,5,
scorer_scaling,ami_adaptive,500,0,continuous,20260848,ok,0.0006281249807216227,2.524896990507841e-05,5,
scorer_scaling,ami_adaptive,500,0,discrete,20260849,ok,0.0010877909953705966,0.00015312398318201303,5,
scorer_scaling,ami_adaptive,500,0,mixed,20260850,ok,0.0005460419924929738,3.374996595084667e-06,5,
scorer_scaling,ami_adaptive,1000,0,continuous,20260851,ok,0.0016396670253016055,0.0002556239487603307,5,
scorer_scaling,ami_adaptive,1000,0,discrete,20260852,ok,0.002818999986629933,6.241706432774663e-05,5,
scorer_scaling,ami_adaptive,1000,0,mixed,20260853,ok,0.0012236250331625342,0.00020012498134747148,5,
scorer_scaling,ami_adaptive,2000,0,continuous,20260854,ok,0.0031673750490881503,0.00012141704792156816,5,
scorer_scaling,ami_adaptive,2000,0,discrete,20260855,ok,0.008558750036172569,6.229197606444359e-05,5,
scorer_scaling,ami_adaptive,2000,0,mixed,20260856,ok,0.003061249968595803,0.0001688329502940178,5,
scorer_scaling,ami_adaptive,5000,0,continuous,20260857,ok,0.009042166988365352,0.0001723329769447446,5,
scorer_scaling,ami_adaptive,5000,0,discrete,20260858,ok,0.0443651249515824,0.0012592500424943864,5,
scorer_scaling,ami_adaptive,5000,0,mixed,20260859,ok,0.009147959004621953,0.00010183308040723205,5,
scorer_scaling,ami_adaptive,10000,0,continuous,20260860,ok,0.018668874981813133,0.00013258395483717322,5,
scorer_scaling,ami_adaptive,10000,0,discrete,20260861,ok,0.13662574999034405,0.0028452910482883453,5,
scorer_scaling,ami_adaptive,10000,0,mixed,20260862,ok,0.021449249994475394,0.00012041599256917834,5,
scorer_scaling,bspline_mi,200,0,continuous,20260863,ok,0.00029379205079749227,1.854199217632413e-05,5,
scorer_scaling,bspline_mi,200,0,discrete,20260864,ok,0.00018174998695030808,2.6958005037158728e-05,5,
scorer_scaling,bspline_mi,200,0,mixed,20260865,ok,0.00017670897068455815,1.1125055607408285e-05,5,
scorer_scaling,bspline_mi,500,0,continuous,20260866,ok,0.00037999998312443495,1.1082971468567848e-05,5,
scorer_scaling,bspline_mi,500,0,discrete,20260867,ok,0.00023783301003277302,5.741702625527978e-05,5,
scorer_scaling,bspline_mi,500,0,mixed,20260868,ok,0.00021662499057129025,1.4579854905605316e-06,5,
scorer_scaling,bspline_mi,1000,0,continuous,20260869,ok,0.0005959160043857992,9.087496437132359e-05,5,
scorer_scaling,bspline_mi,1000,0,discrete,20260870,ok,0.0003018329734914005,1.0916031897068024e-05,5,
scorer_scaling,bspline_mi,1000,0,mixed,20260871,ok,0.0003374590305611491,3.591598942875862e-05,5,
scorer_scaling,bspline_mi,2000,0,continuous,20260872,ok,0.0009072079556062818,4.087499110028148e-05,5,
scorer_scaling,bspline_mi,2000,0,discrete,20260873,ok,0.0005135420360602438,1.3583048712462187e-05,5,
scorer_scaling,bspline_mi,2000,0,mixed,20260874,ok,0.0005361660150811076,1.3915938325226307e-05,5,
scorer_scaling,bspline_mi,5000,0,continuous,20260875,ok,0.0018965409835800529,1.57069880515337e-05,5,
scorer_scaling,bspline_mi,5000,0,discrete,20260876,ok,0.001122458023019135,1.387402880936861e-05,5,
scorer_scaling,bspline_mi,5000,0,mixed,20260877,ok,0.001116541970986873,3.0166993383318186e-05,5,
scorer_scaling,bspline_mi,10000,0,continuous,20260878,ok,0.0035669999779202044,7.60830007493496e-05,5,
scorer_scaling,bspline_mi,10000,0,discrete,20260879,ok,0.002135791990440339,9.350001346319914e-05,5,
scorer_scaling,bspline_mi,10000,0,mixed,20260880,ok,0.00212154199834913,7.058301707729697e-05,5,
scorer_scaling,catt_knn_mi,200,0,continuous,20260809,ok,0.0007526249974034727,0.00010533398017287254,5,
scorer_scaling,catt_knn_mi,200,0,discrete,20260810,ok,0.0007039170013740659,3.08750313706696e-05,5,
scorer_scaling,catt_knn_mi,200,0,mixed,20260811,ok,0.0007170829921960831,2.9749993700534105e-05,5,
scorer_scaling,catt_knn_mi,500,0,continuous,20260812,ok,0.0011260409955866635,3.916036803275347e-06,5,
scorer_scaling,catt_knn_mi,500,0,discrete,20260813,ok,0.001008042017929256,3.170897252857685e-05,5,
scorer_scaling,catt_knn_mi,500,0,mixed,20260814,ok,0.0009854999952949584,4.6625034883618355e-05,5,
scorer_scaling,catt_knn_mi,1000,0,continuous,20260815,ok,0.0020075420034117997,5.070795305073261e-05,5,
