n,p,seed,mass_below_abs,mass_below_scaled,w_median,w_p05,tail_slope,c_implied
100,500,0,0.04897959183673469,0.8367346938775511,0.08030865224854662,0.0502094593408755,3.005053161858591,0.8030865224854662
100,500,1,0.03877551020408163,0.8122448979591836,0.08121330733553456,0.052785053437530344,3.1278421997917403,0.8121330733553456
100,500,2,0.061224489795918366,0.8306122448979592,0.07960943231310452,0.04856655050944556,3.6444944349444,0.7960943231310452
100,500,3,0.053061224489795916,0.8693877551020408,0.08063573071861307,0.049847043189302054,3.775217540561082,0.8063573071861307
100,500,4,0.06326530612244897,0.8673469387755102,0.08072461293520039,0.048362136888853414,2.8663941035427762,0.8072461293520039
100,500,5,0.04081632653061224,0.8530612244897959,0.08008342686175651,0.05259947640366807,3.0456831890305036,0.8008342686175651
100,500,6,0.03469387755102041,0.8551020408163266,0.08013415569907575,0.05139240177502731,2.977220801296784,0.8013415569907576
100,500,7,0.03469387755102041,0.8346938775510204,0.08023924117647345,0.05194130498508206,3.7287696490994593,0.8023924117647345
100,500,8,0.05102040816326531,0.8448979591836735,0.07931258199264374,0.05038898502651472,3.0690690159666842,0.7931258199264374
100,500,9,0.04081632653061224,0.8591836734693877,0.07952474185125932,0.051675894940431004,3.513659467178371,0.7952474185125933
100,1000,0,0.045454545454545456,0.8464646464646465,0.07899937813151059,0.0505258610870703,3.6514752363203424,0.7899937813151059
100,1000,1,0.04242424242424243,0.8464646464646465,0.07962650034562604,0.05127276036156306,3.2609931493098507,0.7962650034562604
100,1000,2,0.03636363636363636,0.8434343434343434,0.08098786991874915,0.05198581161366192,3.739214323058513,0.8098786991874916
100,1000,3,0.043434343434343436,0.8444444444444444,0.07833215122098,0.051062422216651034,3.15584054174174,0.7833215122098001
100,1000,4,0.05454545454545454,0.8282828282828283,0.0802385985116909,0.04937467409029282,3.5601832282360464,0.8023859851169091
100,1000,5,0.04141414141414142,0.8646464646464647,0.0774874991128874,0.051681361243926784,3.55382525852615,0.7748749911288739
100,1000,6,0.051515151515151514,0.8616161616161616,0.07837812813558794,0.049642365057025836,3.8796872232986543,0.7837812813558793
100,1000,7,0.03636363636363636,0.8595959595959596,0.07886443713550959,0.05294325606224511,3.766774332641949,0.7886443713550959
100,1000,8,0.031313131313131314,0.8323232323232324,0.0786763001946903,0.052569241057385335,3.5276928063873565,0.786763001946903
100,1000,9,0.048484848484848485,0.8505050505050505,0.07860483756313644,0.05050248505508503,3.8322246260542046,0.7860483756313643
100,2000,0,0.04874371859296482,0.8542713567839196,0.07854753774647408,0.05039858276358278,3.356586042588205,0.7854753774647407
100,2000,1,0.0371859296482412,0.8527638190954774,0.07943920790982421,0.051729981212879396,4.651919925733704,0.7943920790982422
100,2000,2,0.04522613065326633,0.8522613065326633,0.079401438758825,0.050883887440543736,3.6918742285778383,0.7940143875882499
100,2000,3,0.05125628140703518,0.8462311557788945,0.0786448997351351,0.049858138200180334,3.714293472758542,0.786448997351351
100,2000,4,0.04974874371859297,0.8492462311557789,0.07879350892638873,0.050210304187837125,3.318986091089373,0.7879350892638872
100,2000,5,0.04723618090452261,0.8517587939698492,0.08003441889016684,0.05051783869165343,3.775616014010624,0.8003441889016684
100,2000,6,0.05075376884422111,0.8427135678391959,0.07923697263179233,0.049862798793473585,3.951992146786444,0.7923697263179232
100,2000,7,0.04522613065326633,0.8517587939698492,0.07946231576157534,0.05078066922075677,3.7028963812782414,0.7946231576157534
100,2000,8,0.04723618090452261,0.8417085427135679,0.07986114330485121,0.050213956341148454,4.23053790344044,0.7986114330485121
100,2000,9,0.04120603015075377,0.8326633165829146,0.08112006625002291,0.05141300133812634,3.5931515098230395,0.811200662500229
100,5000,0,0.04468937875751503,0.8486973947895792,0.07903008085869365,0.05072228208908489,3.99152640974271,0.7903008085869365
100,5000,1,0.04809619238476954,0.848496993987976,0.0790331213420814,0.05025392181514832,3.9085366820281444,0.790331213420814
100,5000,2,0.04428857715430862,0.8442885771543086,0.07930493161823005,0.05092080283080406,3.761871215839378,0.7930493161823005
100,5000,3,0.05070140280561122,0.8440881763527054,0.08005562716404396,0.0498513528816582,3.797801976872188,0.8005562716404396
100,5000,4,0.041082164328657314,0.8400801603206413,0.0796048627924029,0.05150971388566747,3.834030250712855,0.7960486279240291
100,5000,5,0.042685370741482966,0.8452905811623247,0.07931673448931732,0.05126786966167737,3.7543282826210946,0.7931673448931732
100,5000,6,0.045691382765531065,0.8498997995991984,0.07937720687690486,0.05071270348435424,3.8031643568475495,0.7937720687690486
100,5000,7,0.04168336673346693,0.8424849699398798,0.07910343934385641,0.051721287407926086,3.827522366719755,0.7910343934385642
100,5000,8,0.047094188376753505,0.8416833667334669,0.07938932996204454,0.05045810056431488,3.7227794198939543,0.7938932996204453
100,5000,9,0.04869739478957916,0.8444889779559118,0.07888799999838832,0.05022900845871495,3.630105599182379,0.7888799999838831
100,10000,0,0.04084084084084084,0.842042042042042,0.07952052825618916,0.05135761066268529,3.7778253369059716,0.7952052825618916
100,10000,1,0.05105105105105105,0.8461461461461461,0.07906913673962457,0.04979652378581687,3.6523792998712508,0.7906913673962457
100,10000,2,0.046546546546546545,0.8492492492492493,0.07936639667683301,0.050617307016980057,3.762937046098388,0.7936639667683301
100,10000,3,0.04714714714714715,0.8439439439439439,0.07950656795840257,0.050402294083397504,4.009948392800386,0.7950656795840256
100,10000,4,0.04354354354354354,0.8466466466466467,0.07900992205931454,0.05106594459580442,3.633753673653034,0.7900992205931454
100,10000,5,0.046546546546546545,0.8498498498498499,0.07938932787647057,0.05047806725071292,3.805520315204518,0.7938932787647057
100,10000,6,0.04874874874874875,0.8472472472472472,0.0792503739756684,0.050211599133167265,3.898062795926344,0.7925037397566841
100,10000,7,0.04274274274274274,0.8469469469469469,0.07912325032461953,0.05114227014337488,3.8047811287513644,0.7912325032461953
100,10000,8,0.04684684684684685,0.851951951951952,0.07930083025196805,0.050622016301793464,3.8081358993428784,0.7930083025196805
100,10000,9,0.044044044044044044,0.8443443443443444,0.0792764480975473,0.05100639610316566,3.678160312624444,0.792764480975473
200,500,0,0.3836734693877551,0.8571428571428571,0.054114211473237916,0.03599992491145695,3.4089899690885,0.765290517825788
200,500,1,0.2897959183673469,0.8061224489795918,0.05703423240435922,0.034909414631114036,3.1540320156354897,0.8065858498578387
200,500,2,0.3306122448979592,0.8408163265306122,0.055812685553164994,0.03594272181984399,2.9786900436390975,0.7893105686175085
200,500,3,0.3510204081632653,0.8530612244897959,0.05565128813902259,0.03562152751478081,3.6680787531429346,0.7870280644973872
200,500,4,0.3326530612244898,0.826530612244898,0.05678790484255773,0.034066218648408864,3.316968333122529,0.8031022520709791
200,500,5,0.3122448979591837,0.8571428571428571,0.05545669585908667,0.037106896663124125,3.6962848026322734,0.7842761140832023
200,500,6,0.336734693877551,0.8387755102040816,0.055661583589377624,0.036856970776266866,3.5929766739081073,0.7871736641526154
200,500,7,0.3469387755102041,0.8387755102040816,0.055292784158197356,0.0378073473377491,4.04595959939597,0.7819580525789092
200,500,8,0.31020408163265306,0.8591836734693877,0.0571080857512246,0.035126538963222216,3.2148360758696533,0.8076302939054754
200,500,9,0.3081632653061224,0.863265306122449,0.05638865987975103,0.036196026447501806,3.6192448520244027,0.7974560756598753
200,1000,0,0.31414141414141417,0.8323232323232324,0.05612999745363603,0.03714335421446444,3.849461331895861,0.7937980365489937
200,1000,1,0.3,0.8515151515151516,0.05652615085509577,0.03429945551827627,3.439699439345904,0.7994004916802396
200,1000,2,0.33636363636363636,0.8454545454545455,0.05564080422279211,0.03597717413517581,3.2224672105348104,0.7868797995321879
200,1000,3,0.3303030303030303,0.8363636363636363,0.05609871164280926,0.03589409082635849,3.7351310991493056,0.7933555883691831
200,1000,4,0.30505050505050507,0.8575757575757575,0.05650164367042505,0.036374267686686834,3.5781928284949456,0.7990539077508706
200,1000,5,0.3707070707070707,0.8707070707070707,0.05441381312736593,0.03566657215428728,3.175614933820572,0.7695275250515605
200,1000,6,0.3393939393939394,0.8545454545454545,0.055698627181972396,0.03562399806802959,3.3640148566199204,0.7876975396630809
200,1000,7,0.3434343434343434,0.8444444444444444,0.05558443259133698,0.035204692498335834,3.372182389759818,0.7860825842748185
200,1000,8,0.30505050505050507,0.8464646464646465,0.05667736361200691,0.036622561892436796,3.5982003249490258,0.8015389629965153
200,1000,9,0.3464646464646465,0.8616161616161616,0.05476143123421588,0.03609775926983595,4.635466223937111,0.7744435874638972
200,2000,0,0.3391959798994975,0.8547738693467337,0.05534283313374794,0.03615078364917242,4.01083062886568,0.7826658519789743
200,2000,1,0.31055276381909547,0.84321608040201,0.05662897869528399,0.03574018753703832,3.9960471885313864,0.8008546969420768
200,2000,2,0.3050251256281407,0.8547738693467337,0.05572199719232848,0.0353079409276831,3.5146292049181613,0.7880280415190647
200,2000,3,0.33668341708542715,0.8597989949748743,0.05556904205243299,0.03520251851482541,4.033558412326697,0.7858649291863158
200,2000,4,0.33819095477386935,0.8673366834170855,0.05569694225841576,0.03523683319384839,3.2485750058592635,0.7876737112456274
200,2000,5,0.3492462311557789,0.8442211055276382,0.05512604847628605,0.03556466454979368,3.864886498806464,0.7796000539520043
200,2000,6,0.3160804020100503,0.8462311557788945,0.05607601014375922,0.035703250682067623,3.3792758257074196,0.7930345406907555
200,2000,7,0.31758793969849247,0.8582914572864322,0.05550943144853037,0.03628229174936889,3.59106073541577,0.7850219079413125
200,2000,8,0.3170854271356784,0.8547738693467337,0.05607008396149792,0.03518563463231738,3.3190943387407805,0.7929507318174852
200,2000,9,0.3060301507537688,0.8452261306532663,0.05629588708625472,0.035831247935283035,3.5762291522419987,0.7961440702320581
