model,term,df,omega2,eta2
main_effects,C(relevance),6,0.019772637367904244,0.020711427977751194
main_effects,C(redundancy),3,0.0015986611697600302,0.0020667640047646826
main_effects,C(operator),2,0.010810233010698196,0.011123821227172762
main_effects,C(aggregation),2,0.0012188565857161244,0.0015309490157772003
main_effects,C(dataset),14,0.5455970979756088,0.5478655009191737
relevance_x_dependence,C(relevance),6,0.023913742681102676,0.025218652574397444
relevance_x_dependence,C(dependence),2,0.2665008955411681,0.26699186861417173
relevance_x_dependence,C(redundancy),3,0.0014070819858454412,0.0020572516201379024
relevance_x_dependence,C(operator),2,0.010637075843569587,0.0110726232840158
relevance_x_dependence,C(aggregation),2,0.0010904233172108588,0.0015239027464169347
relevance_x_dependence,C(relevance):C(dependence),12,0.11169910354624177,0.11432275930559406
