comparison,scope,k,n_seeds,mean_a,mean_b,mean_diff,wilcoxon_p
gate_vs_quotient,madelon,5,10,0.7273076923076923,0.5664102564102564,0.16089743589743585,0.001953125
gate_vs_quotient,isolet,5,10,0.2638461538461538,0.304017094017094,-0.04017094017094015,0.001953125
gate_vs_quotient,riboflavin,5,10,0.5037163138407229,0.23264029534939193,0.271076018491331,0.001953125
gate_vs_quotient,arcene,5,10,0.7496606334841629,0.6438914027149323,0.10576923076923075,0.001953125
gate_vs_quotient,pooled,5,40,0.5611326983696829,0.4367397621229186,0.12439293624676435,1.0394721494181667e-05
gate_vs_quotient,madelon,10,10,0.8197435897435896,0.5935897435897436,0.22615384615384615,0.001953125
gate_vs_quotient,isolet,10,10,0.45867521367521363,0.5272649572649573,-0.06858974358974358,0.013671875
gate_vs_quotient,riboflavin,10,10,0.5158985280919366,0.3971792495992934,0.11871927849264319,0.130859375
gate_vs_quotient,arcene,10,10,0.7440045248868778,0.6591628959276019,0.08484162895927602,0.00390625
gate_vs_quotient,pooled,10,40,0.6345804640994045,0.544299211595399,0.09028125250400545,0.0009411722930963151
gate_vs_quotient,madelon,20,10,0.8412820512820514,0.5897435897435896,0.2515384615384616,0.001953125
gate_vs_quotient,isolet,20,10,0.6188888888888889,0.6742735042735044,-0.055384615384615365,0.001953125
gate_vs_quotient,riboflavin,20,10,0.5048592683752517,0.5133443586465578,-0.008485090271305984,0.4921875
gate_vs_quotient,arcene,20,10,0.7668552036199096,0.6918552036199095,0.075,0.001953125
gate_vs_quotient,pooled,20,40,0.6829713530415253,0.6173041640708903,0.06566718897063506,0.006657873602307518
gate_vs_difference,madelon,5,10,0.7273076923076923,0.5923076923076923,0.13499999999999998,0.001953125
gate_vs_difference,isolet,5,10,0.2638461538461538,0.34978632478632476,-0.08594017094017092,0.001953125
gate_vs_difference,riboflavin,5,10,0.5037163138407229,0.4934575660288464,0.010258747811876611,0.640625
gate_vs_difference,arcene,5,10,0.7496606334841629,0.699660633484163,0.05,0.10546875
gate_vs_difference,pooled,5,40,0.5611326983696829,0.5338030541517566,0.02732964421792642,0.24893874120238457
gate_vs_difference,madelon,10,10,0.8197435897435896,0.6023076923076923,0.21743589743589742,0.001953125
gate_vs_difference,isolet,10,10,0.45867521367521363,0.505897435897436,-0.047222222222222276,0.01953125
gate_vs_difference,riboflavin,10,10,0.5158985280919366,0.5252311828736855,-0.009332654781748884,0.6953125
gate_vs_difference,arcene,10,10,0.7440045248868778,0.7230769230769232,0.020927601809954732,0.42578125
gate_vs_difference,pooled,10,40,0.6345804640994045,0.5891283085389343,0.045452155560470255,0.0996218312184481
gate_vs_difference,madelon,20,10,0.8412820512820514,0.6471794871794871,0.19410256410256413,0.001953125
gate_vs_difference,isolet,20,10,0.6188888888888889,0.6476068376068376,-0.028717948717948704,0.009765625
gate_vs_difference,riboflavin,20,10,0.5048592683752517,0.4981431801462497,0.0067160882290020485,0.6953125
gate_vs_difference,arcene,20,10,0.7668552036199096,0.76289592760181,0.003959276018099511,0.943359375
gate_vs_difference,pooled,20,40,0.6829713530415253,0.6389563581335962,0.04401499490792925,0.14845655735647842
