dependence,blocking,n_blocks,family,avg_rank,best_family,friedman_p
linear,dataset,6,linear,1.0,linear,0.002478752176666357
linear,dataset,6,mixed,2.0,linear,0.002478752176666357
linear,dataset,6,nonlinear,3.0,linear,0.002478752176666357
linear,mechanism,3,linear,1.0,linear,0.04978706836786395
linear,mechanism,3,mixed,2.0,linear,0.04978706836786395
linear,mechanism,3,nonlinear,3.0,linear,0.04978706836786395
nonlinear,dataset,4,linear,2.5,mixed,0.4723665527410149
nonlinear,dataset,4,mixed,1.75,mixed,0.4723665527410149
nonlinear,dataset,4,nonlinear,1.75,mixed,0.4723665527410149
nonlinear,mechanism,4,linear,2.5,mixed,0.4723665527410149
nonlinear,mechanism,4,mixed,1.75,mixed,0.4723665527410149
nonlinear,mechanism,4,nonlinear,1.75,mixed,0.4723665527410149
mixed,dataset,5,linear,1.8,linear,0.8187307530779795
mixed,dataset,5,mixed,2.0,linear,0.8187307530779795
mixed,dataset,5,nonlinear,2.2,linear,0.8187307530779795
mixed,mechanism,4,linear,1.5,linear,0.36787944117144245
mixed,mechanism,4,mixed,2.0,linear,0.36787944117144245
mixed,mechanism,4,nonlinear,2.5,linear,0.36787944117144245
