metric,blocking,operator,avg_rank,friedman_p,friedman_stat,n_blocks
f1,dataset,difference,1.8,0.5488116360940296,1.1999999999999886,15
f1,dataset,multiplicative,2.0,0.5488116360940296,1.1999999999999886,15
f1,dataset,quotient,2.2,0.5488116360940296,1.1999999999999886,15
f1,mechanism,difference,1.9091,0.91310071628226,0.18181818181818699,11
f1,mechanism,multiplicative,2.0,0.91310071628226,0.18181818181818699,11
f1,mechanism,quotient,2.0909,0.91310071628226,0.18181818181818699,11
noise_rate,dataset,difference,1.2,3.3720152341392027e-06,25.19999999999999,15
noise_rate,dataset,multiplicative,1.8,3.3720152341392027e-06,25.19999999999999,15
noise_rate,dataset,quotient,3.0,3.3720152341392027e-06,25.19999999999999,15
noise_rate,mechanism,difference,1.2727,0.00014801723797451283,17.636363636363654,11
noise_rate,mechanism,multiplicative,1.7273,0.00014801723797451283,17.636363636363654,11
noise_rate,mechanism,quotient,3.0,0.00014801723797451283,17.636363636363654,11
